Sample	Total	Assigned	Unassigned_rRNA	Unassigned_Unmapped	Unassigned_Read_Type	Unassigned_Singleton	Unassigned_MappingQuality	Unassigned_Chimera	Unassigned_FragmentLength	Unassigned_Duplicate	Unassigned_MultiMapping	Unassigned_Secondary	Unassigned_NonSplit	Unassigned_NoFeatures	Unassigned_Overlapping_Length	Unassigned_Ambiguity	percent_assigned	reads_processed	reads_aligned	reads_aligned_percentage	not_aligned	not_aligned_percentage	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content	per_tile_sequence_quality	cutadapt_version	r_processed	r_with_adapters	r_written	bp_processed	quality_trimmed	bp_written	percent_trimmed	se_sense	se_antisense	failed	pe_sense	pe_antisense
SRX15590319	6930838	2862428	30460	137787	0	0	0	0	0	0	0	0	0	3704060	192117	3986	41.29988321758494	6930838.0	6793051.0	98.01	137787.0	1.99	SRX15590319_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6930838.0	0.0	20-100	51.0	19.769824078601097	96.38104108045808	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass		2.6	7074859	2532236	7074859	707485900	32810944	671101122	5.142827298748993	0.0	0.0	1.0		
SRX15947806	9514921	5535990	1647123	389875	0	0	0	0	118691	0	0	0	0	1454681	292294	76267	58.1821961527584	9514921.0	9125046.0	95.9	389875.0	4.1	SRX15947806_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9514921.0	0.0	20-51	54.0	21.84635511736915	50.50354017652905	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass		2.6	9537648	3062936	9537648	486420048	240402	481215883	1.069891140671077			0.5639	0.1357	0.3004
SRX15947807	12751861	9606787	645489	772288	0	0	0	0	320670	0	0	0	0	520098	614832	271697	75.33635286645612	12751861.0	11979573.0	93.94	772288.0	6.06	SRX15947807_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12751861.0	0.0	20-51	55.0	29.79161377909227	50.55959659535185	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass		2.6	12780501	3752682	12780501	651805551	370755	645694918	0.9374932432878282			0.6367	0.1683	0.195
SRX15947808	12588392	7692508	1529833	396387	0	0	0	0	167078	0	0	0	0	2270600	423781	108205	61.1079477029314	12588392.0	12192005.0	96.85	396387.0	3.15	SRX15947808_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12588392.0	0.0	20-51	54.0	20.95715543271836	50.51593197923928	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass		2.6	12616750	3807597	12616750	643454250	1596360	636305650	1.110972536120478			0.535	0.1233	0.3416
SRX15947809	9071300	5471904	985377	292833	0	0	0	0	119140	0	0	0	0	1797489	312164	92393	60.32105651891128	9071300.0	8778467.0	96.77	292833.0	3.23	SRX15947809_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9071300.0	0.0	20-51	55.0	22.76018041225637	50.50556557494516	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass		2.6	9087374	2879447	9087374	463456074	217615	458810730	1.002326705939342			0.526	0.1446	0.3293
SRX15947810	11329696	6778310	2150448	255763	0	0	0	0	162224	0	0	0	0	1505231	358894	118826	59.82781885762866	11329696.0	11073933.0	97.74	255763.0	2.26	SRX15947810_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	11329696.0	0.0	20-51	54.0	16.882177083410525	50.52537473203164	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass		2.6	11349970	3858610	11349970	578848470	252969	572807794	1.0435677578969846			0.4113	0.0955	0.4932
SRX15947812	11668109	6807708	2211302	326514	0	0	0	0	236649	0	0	0	0	1522659	406028	157249	58.34456980132771	11668109.0	11341595.0	97.2	326514.0	2.8	SRX15947812_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	11668109.0	0.0	20-51	54.0	16.507249019020684	50.51077145405481	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass		2.6	11690204	3436408	11690204	596200404	1505130	589633024	1.1015390053308316			0.472	0.0922	0.4358
SRX15947813	10177084	5645067	2364033	394365	0	0	0	0	202006	0	0	0	0	1102200	328263	141150	55.46841315252974	10177084.0	9782719.0	96.12	394365.0	3.88	SRX15947813_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10177084.0	0.0	20-51	54.0	14.162801610381068	50.51468799903784	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass		2.6	10203070	3376983	10203070	520356570	234066	515341788	0.9637203197030836			0.4255	0.0589	0.5156
SRX15947814	9492312	5128042	2275192	336105	0	0	0	0	167636	0	0	0	0	1171321	299183	114833	54.02310838497512	9492312.0	9156207.0	96.46	336105.0	3.54	SRX15947814_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9492312.0	0.0	20-51	54.0	18.86914973215748	50.46979903315441	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass		2.6	9519981	3082767	9519981	485519031	232148	480465162	1.040920886168106			0.4746	0.0976	0.4278
SRX15947815	8780357	6895079	295433	476437	0	0	0	0	167403	0	0	0	0	335034	421768	189203	78.52845846700767	8780357.0	8303920.0	94.57	476437.0	5.43	SRX15947815_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	8780357.0	0.0	20-51	55.0	36.062839436505605	50.50783538755884	pass	pass	pass	fail	warn	pass	warn	fail	pass	pass		2.6	8803111	2649590	8803111	448958661	1340356	443817822	1.1450584311146634			0.6363	0.1816	0.182
