Geneid,SRX15590299,SRX15590300,SRX15590301,SRX15590302,SRX15590303,SRX15590304,SRX15590305,SRX15590306,SRX15590307,SRX15590308,SRX15590309,SRX15590310,SRX15590311,SRX15590312,SRX15590313,SRX15590314,SRX15590315,SRX15590316,SRX15590317,SRX15590318,SRX15590319,SRX15947806,SRX15947807,SRX15947808,SRX15947809,SRX15947810,SRX15947812,SRX15947813,SRX15947814,SRX15947815,SRX15947816,UV_control_1,UV_control_2,UV_control_3,UV_exposure_2,UV_exposure_3,dark_4h_0110_KO_1,dark_4h_0110_KO_2,dark_4h_0616_KO_1,dark_4h_0616_KO_2,dark_4h_1684_KO_1,dark_4h_1684_KO_2,km_LL_1,km_LL_2,km_dark_4h_1,km_dark_4h_2,light_0110_KO_1,light_0110_KO_2,light_0616_KO_1,light_0616_KO_2,light_1684_KO_1,light_1684_KO_2,post_uv_2hrs_1,post_uv_2hrs_2,post_uv_2hrs_3,post_uv_control_1,post_uv_control_2,wt_LL_1,wt_LL_2,wt_dark_4h_1,wt_dark_4h_2
Synpcc7942_0004,8.191483067069578,8.510442176068238,8.59671876700843,7.148454815585813,7.19696255408467,8.13024918230182,7.899008296175492,7.79546704689262,8.110581358706035,7.599146732486601,7.44586594138594,7.740580365916174,8.149863123356468,7.266725383874482,8.509028767830037,7.3731217464167,7.20749016026677,8.08439559511355,7.681545010375255,7.614048519084253,8.404765857655718,9.053959124182395,8.024177919151303,9.024571038503803,8.418986363226725,9.05130572408135,8.337890632086657,6.9329315557537985,6.950491963134317,7.8349032285712115,7.81239455323996,8.024173869746853,8.418875052094172,8.33787749410752,9.024638499456916,9.051280306085875,6.870339790285251,7.011366390241338,7.290816385409732,6.7959011934019395,6.784209127533409,6.8507721092298395,7.779858582455669,7.488035667893955,7.027689433370251,6.82446150002777,7.976223711955771,7.222939462819163,7.491754835557475,7.428539952452297,7.916345582449163,7.329742510762266,6.932954399225874,7.834913541323352,7.812392965874806,6.950511702425509,7.9291913614509575,7.622970009635965,7.8091195968159735,6.899757024199936,7.184884238593701
Synpcc7942_0005,4.94082232382584,3.146824257041478,5.385489598612031,8.811171842882594,9.255489721360885,3.3105753459800233,4.591564805785564,4.413446562104276,5.0071731044336945,4.5661760871579915,4.1165135123907834,2.9367012962767607,4.986471110873599,4.670901555572837,4.910734591416035,4.664467256097434,4.928102250504913,5.37911131930974,5.049356616852986,4.799310386269257,5.396063055248302,5.2783457607055615,8.36672295144565,5.64340975669675,5.8338505557607165,4.368261471108432,4.746896995446836,6.337721853819497,6.372796902734359,8.33643377344561,8.287261194411045,8.366718898740931,5.833740875767332,4.746884307550611,5.643475995228646,4.368237238178748,7.793696742083135,7.568632334084571,7.9912904025143705,7.688751231893209,6.501224893959164,7.019427852213248,6.4127146533655575,7.0801983240697055,7.535136703485844,7.4199883335220935,6.492490915065732,7.339739593478458,8.021292400931799,8.066729252999812,7.819978078736296,6.416555136289452,6.337744601026991,8.336444099519403,8.287259605056457,6.372816562789798,8.457582584007598,6.379675532020199,6.384593433885004,7.474163534896578,7.173370059300262
Synpcc7942_0006,4.242562737330486,4.265698299013286,4.743892562280757,5.403770615914775,4.370507060089606,3.8275649008314314,3.370566297443044,3.0101900786060525,4.195480437592582,2.9876045944698824,3.4045104160888204,3.5474921061596296,4.353092698050807,2.6674235280726832,4.073618211645189,3.1643766254151364,3.8065423427224623,5.040774991004118,4.01333762415483,3.937242705466688,4.751298153628141,5.603319623022705,7.932367511333965,5.7740336326594806,5.628865738427247,4.808490408263156,4.917561793025719,5.218350465609429,5.16062659359861,8.089891663781724,8.003328172886885,7.932363462955533,5.628756357265956,4.917549050371019,5.774099988242954,4.808465851058774,7.974152256657789,7.4818100971951775,7.892946151893272,7.829060396637921,6.612426368107017,7.01776589049055,5.4166558970006085,7.032604429019376,7.046283638074256,7.084238962535569,6.166006992098596,7.0209546685469135,7.736963544085628,8.008096451064445,7.849826763322817,5.712449308585256,5.218372878925922,8.08990198388357,8.003326584642437,5.160645937433134,7.8949893856029005,5.802455928648514,5.732562478757646,7.17359402580978,6.6727823402044555
Synpcc7942_0007,5.792737264094464,5.6075139924485065,6.145245698259609,6.303892154590354,6.142705692298271,5.310334642061626,5.122944206115534,5.242614021603296,5.626786458586955,5.217486989196944,4.702884936837093,5.078518072196178,6.133101404795256,5.433727299977458,5.923712319165484,5.739174424493027,5.626196442191768,6.404411745805916,5.982502778857811,5.998868959365461,6.217426177754218,6.108615129940881,8.420580194649197,6.224719262400347,6.511777575730925,5.613448292614983,5.58902912283795,6.278393842129748,5.876062139585342,8.501381812430935,8.594071261773943,8.420576141493228,6.511667161865637,5.589016217913173,6.22478594938092,5.61342334679191,7.93859430260256,7.458901998755225,8.08605736840062,7.903959208129555,6.8022084613758045,7.628076252164569,6.571281254455554,7.328444872176512,7.390750450247237,7.209740652368327,6.725039217947151,7.149102750498341,7.900837300678572,8.342959137243446,7.7223025270368755,6.2734443480560245,6.27841657738281,8.501392141966868,8.594069671441593,5.876081700942314,8.502042431917108,6.497015877503716,6.543839168656688,7.314975498703338,7.242340799931934
Synpcc7942_0008,5.562060275997662,5.940739044620862,5.82096849600157,0.0,3.7630368167212143,5.6746696284886395,5.850651964118095,5.261370453984547,5.852414413726094,5.677779583304412,5.061011307490775,5.526258051385679,6.096167530962111,6.080842322928758,6.457791313774704,5.712213001288514,5.937532275382974,6.526108609879259,5.6928598976223705,6.004630347539647,5.973950792089151,7.042068269260641,7.72734100604026,7.025302735184051,7.197864848798929,6.597529305973561,6.710429445267488,7.21971128585767,7.243489919047443,7.811200555176692,7.932496545652813,7.727336960203054,7.197753971904137,6.710416392402377,7.025369807057929,6.597504102949568,6.994517702853542,6.660804235886149,7.575929016619268,7.003625546393623,6.203131799260803,6.851239143076698,7.191022900711012,7.773769563555292,6.406076901206468,6.18311372870458,8.005276536087608,7.320108668727173,7.343763277649362,7.917590633866021,7.832511003385423,7.9366537681393,7.219734163310371,7.811210867177323,7.932494957721065,7.243509687910809,8.018484926944415,7.204432763831248,7.116547510309402,6.583236186405251,6.785768539889559
Synpcc7942_0009,6.732692628481246,7.126192004711617,7.309838059464758,6.65212069448335,6.238747774479267,6.975334511270093,6.7704379328844615,6.650370246514843,7.133783587206271,6.802687758914098,6.5417031351090325,7.397008358377018,6.920796101348078,6.618957294805584,7.043470546330047,6.57306690496756,6.779207831674513,7.1845987690903375,6.685488100399481,6.540066783801844,6.962938241173133,7.585410431935723,8.63040438035179,7.694082646759028,7.982863651018171,7.750919205770387,7.961375185394099,7.89739485047801,8.020735235939195,8.641633695251617,8.677401025593321,8.630400325589996,7.982752455015536,7.961362059560898,7.694149911110054,7.7508938579978555,8.534562920598988,8.108412226525003,8.768675554719218,8.583077193852706,7.473238196176464,8.173102366166278,7.607796400971938,7.8373567495750525,8.07322621769353,8.071530002652288,7.550054161534171,7.962931741747699,8.63540062491628,8.83996034466454,8.360960423425373,7.117297620681653,7.89741778584882,8.641644027435461,8.6773994350294,8.020755059501957,8.702699313974646,7.497423003582225,7.444573265104635,8.097007709063927,8.387152266752702
Synpcc7942_0010,6.917916971618557,6.961991524215776,6.964087652163565,7.102910264530248,7.103033786697999,6.732836981899537,6.961160290798196,6.627146956897951,6.850160091460352,6.707680691578868,6.445504583459024,6.919104862849835,6.746009006311816,6.702691861595955,6.738824377142557,7.067682252948779,6.884654304992263,7.190247383755619,7.418200722444023,7.458694211482471,7.508785412044657,6.609853123210095,8.796410518891877,6.5554365961714645,6.7333909907853355,6.797299787841234,5.939224908776654,6.310402234914393,6.351999428080713,9.181454419327176,9.38071154197224,8.796406463015133,6.733280402708182,5.9392119448451215,6.555503468294064,6.797274550812031,9.243352604389054,8.587534173308766,9.178094166932501,9.144779802753254,7.61632745507595,8.889263581474395,7.0007027717717785,8.1306487376888,8.497769712852273,8.488558560582536,7.449985503946759,8.123009176575167,8.719738825652476,9.19187851429402,8.451074973383847,6.606144052992943,6.31042497667809,9.181464759606506,9.380709949905658,6.352019084649397,9.075778054773117,7.282692147904643,7.104783077071335,8.604797212076088,8.566049306872278
Synpcc7942_0011,6.20766252475233,5.550640480701998,6.000618315205531,8.240093695294872,8.45632527458921,5.785242651623127,6.139653586473349,5.345703169429377,6.232451856906175,6.1360283672988105,5.319690872853703,5.418212180319095,6.153595778065695,5.329129255713915,5.95843981173956,5.758199746609874,5.812342104770097,6.1643263172761795,5.849792864797606,5.727118795730943,6.022860658066278,8.655692847270444,9.231901596493213,8.630128734175086,8.348291167435995,8.105506024297258,7.877260191257493,7.905755714801508,7.965959711150013,9.47908789015539,9.388499097474964,9.231897538234238,8.348179872685112,7.87724706859885,8.63019615432063,8.10548065076298,9.836975293910454,9.413565802133979,9.599490442077213,9.763930434350053,7.794619311648734,8.571087325993007,8.975500110367877,9.31738697373602,9.174610120121889,9.205598980961673,9.013814434067472,9.162533084015367,9.270813138261511,9.561297039822433,9.475219364075983,9.034474715715751,7.9057786507305225,9.47909823376028,9.388497505395506,7.965979531747567,9.275975054653932,8.873705376389172,8.917033019859547,9.266471453869093,8.582526898068302
Synpcc7942_0012,8.94087536272429,9.028757583537963,8.952462867629528,7.218069774622971,8.117291947463203,8.4470861921655,9.236068433562272,8.849534499178041,8.900346222842929,9.395079817882412,8.644180493119196,8.866936187597307,9.142433971113155,9.038807842917528,8.95018774141368,9.575064447552107,8.724567969925383,9.252357519983052,10.241328583931352,10.389767897429948,10.20267497162365,8.783145204390493,8.941582058949953,8.725416679798748,8.741170327688788,9.366189905366184,9.378214935993029,9.329813062155102,9.561080189068518,9.097266101491813,9.063626891220984,8.941578002197984,8.74105895127376,9.378201777087305,8.72548411084738,9.366164477958465,9.348323170537954,9.131497023508059,9.547865379401605,9.408837076054317,7.779286755544239,8.595586539338814,8.13906566036055,8.72793333185955,8.728731758320382,8.800861167781294,8.341463418656009,9.068382391640856,9.372915258369458,9.379384183843706,8.896781810832223,8.24398562400835,9.329836058334399,9.097276440699138,9.06362529974235,9.561100062912566,9.006604306741714,8.032842015402883,7.807984881710401,8.720244423392256,8.726331683774891
Synpcc7942_0013,9.35556416001091,9.774652407480756,10.10775176048361,9.414903145403583,9.185591158537132,8.962534967904126,8.536548840905992,10.19585395272993,10.117334421570641,7.789363288855077,9.075990613664713,5.267304029780759,10.540986917332859,10.415866185427703,10.907590121201514,11.853118828838946,11.166990435355387,11.464096230171993,11.664090056115777,10.757516171029668,11.926216710521244,7.089952171814413,9.045501258075868,7.350801457793664,7.848639284083,7.436185941843889,7.742054226247708,6.819541867507753,7.640760669135395,9.248846665581185,9.215071449499817,9.045497200749317,7.848528131109327,7.742041109096051,7.350868634465624,7.436160622892178,9.660150962671866,9.472089435679543,9.65491341854525,9.728405645435872,8.721022153288018,9.439176856585446,8.132944389273316,8.819069563325614,9.517032847509263,9.602361886096014,8.033481341937927,8.898851761041557,9.404530381368936,9.503198422393812,8.606779647096246,8.014294728296434,6.819564695566907,9.24885700667469,9.215069857724238,7.6407804696094965,9.14800644240851,8.441609431760346,8.285238250088993,9.451275899999787,9.645516476539555
