,gene_id,database,kegg_id
432,Synpcc7942_0163,KEGG_pathway,-
433,Synpcc7942_0164,KEGG_pathway,-
434,Synpcc7942_0165,KEGG_pathway,-
439,Synpcc7942_0166,KEGG_pathway,map00250
440,Synpcc7942_0166,KEGG_pathway,map00460
441,Synpcc7942_0166,KEGG_pathway,map01100
442,Synpcc7942_0166,KEGG_pathway,map01110
443,Synpcc7942_0167,KEGG_pathway,-
444,Synpcc7942_0168,KEGG_pathway,-
456,Synpcc7942_0169,KEGG_pathway,map00220
457,Synpcc7942_0169,KEGG_pathway,map00250
458,Synpcc7942_0169,KEGG_pathway,map00630
459,Synpcc7942_0169,KEGG_pathway,map00910
460,Synpcc7942_0169,KEGG_pathway,map01100
461,Synpcc7942_0169,KEGG_pathway,map01120
462,Synpcc7942_0169,KEGG_pathway,map01230
463,Synpcc7942_0169,KEGG_pathway,map02020
464,Synpcc7942_0169,KEGG_pathway,map04217
465,Synpcc7942_0169,KEGG_pathway,map04724
466,Synpcc7942_0169,KEGG_pathway,map04727
475,Synpcc7942_0171,KEGG_pathway,map00270
476,Synpcc7942_0171,KEGG_pathway,map00920
477,Synpcc7942_0171,KEGG_pathway,map01100
478,Synpcc7942_0171,KEGG_pathway,map01110
479,Synpcc7942_0171,KEGG_pathway,map01120
480,Synpcc7942_0171,KEGG_pathway,map01130
481,Synpcc7942_0171,KEGG_pathway,map01200
482,Synpcc7942_0171,KEGG_pathway,map01230
487,Synpcc7942_0173,KEGG_pathway,map00920
488,Synpcc7942_0173,KEGG_pathway,map01100
489,Synpcc7942_0173,KEGG_pathway,map01120
490,Synpcc7942_0173,KEGG_pathway,map01130
491,Synpcc7942_0174,KEGG_pathway,-
492,Synpcc7942_0176,KEGG_pathway,-
493,Synpcc7942_0177,KEGG_pathway,-
494,Synpcc7942_0178,KEGG_pathway,-
495,Synpcc7942_0183,KEGG_pathway,-
500,Synpcc7942_0185,KEGG_pathway,map00430
501,Synpcc7942_0185,KEGG_pathway,map00460
502,Synpcc7942_0185,KEGG_pathway,map00480
503,Synpcc7942_0185,KEGG_pathway,map01100
504,Synpcc7942_0187,KEGG_pathway,-
505,Synpcc7942_0188,KEGG_pathway,-
509,Synpcc7942_0189,KEGG_pathway,map00230
510,Synpcc7942_0189,KEGG_pathway,map00983
511,Synpcc7942_0189,KEGG_pathway,map01100
514,Synpcc7942_0190,KEGG_pathway,map00860
515,Synpcc7942_0190,KEGG_pathway,map01100
516,Synpcc7942_0191,KEGG_pathway,-
517,Synpcc7942_0192,KEGG_pathway,-
518,Synpcc7942_0193,KEGG_pathway,-
526,Synpcc7942_0194,KEGG_pathway,map00230
527,Synpcc7942_0194,KEGG_pathway,map00240
528,Synpcc7942_0194,KEGG_pathway,map01100
529,Synpcc7942_0194,KEGG_pathway,map03030
530,Synpcc7942_0194,KEGG_pathway,map03410
531,Synpcc7942_0194,KEGG_pathway,map03420
532,Synpcc7942_0194,KEGG_pathway,map03440
533,Synpcc7942_0195,KEGG_pathway,-
534,Synpcc7942_0196,KEGG_pathway,-
535,Synpcc7942_0197,KEGG_pathway,-
537,Synpcc7942_0198,KEGG_pathway,map00190
538,Synpcc7942_0199,KEGG_pathway,-
539,Synpcc7942_0200,KEGG_pathway,-
544,Synpcc7942_0203,KEGG_pathway,map00740
545,Synpcc7942_0203,KEGG_pathway,map01100
546,Synpcc7942_0203,KEGG_pathway,map01110
547,Synpcc7942_0203,KEGG_pathway,map02024
548,Synpcc7942_0204,KEGG_pathway,-
551,Synpcc7942_0205,KEGG_pathway,map00760
552,Synpcc7942_0205,KEGG_pathway,map01100
556,Synpcc7942_0206,KEGG_pathway,map00760
557,Synpcc7942_0206,KEGG_pathway,map01100
558,Synpcc7942_0206,KEGG_pathway,map04621
559,Synpcc7942_0208,KEGG_pathway,-
560,Synpcc7942_0209,KEGG_pathway,-
561,Synpcc7942_0210,KEGG_pathway,-
564,Synpcc7942_0211,KEGG_pathway,map00860
565,Synpcc7942_0211,KEGG_pathway,map01100
571,Synpcc7942_0212,KEGG_pathway,map00400
572,Synpcc7942_0212,KEGG_pathway,map01100
573,Synpcc7942_0212,KEGG_pathway,map01110
574,Synpcc7942_0212,KEGG_pathway,map01130
575,Synpcc7942_0212,KEGG_pathway,map01230
576,Synpcc7942_0213,KEGG_pathway,-
577,Synpcc7942_0214,KEGG_pathway,-
578,Synpcc7942_0215,KEGG_pathway,-
579,Synpcc7942_0216,KEGG_pathway,-
580,Synpcc7942_0217,KEGG_pathway,-
581,Synpcc7942_0218,KEGG_pathway,-
582,Synpcc7942_0220,KEGG_pathway,-
594,Synpcc7942_0221,KEGG_pathway,map00010
595,Synpcc7942_0221,KEGG_pathway,map00052
596,Synpcc7942_0221,KEGG_pathway,map00500
597,Synpcc7942_0221,KEGG_pathway,map00520
598,Synpcc7942_0221,KEGG_pathway,map00521
599,Synpcc7942_0221,KEGG_pathway,map00524
600,Synpcc7942_0221,KEGG_pathway,map01100
601,Synpcc7942_0221,KEGG_pathway,map01110
602,Synpcc7942_0221,KEGG_pathway,map01120
603,Synpcc7942_0221,KEGG_pathway,map01130
604,Synpcc7942_0221,KEGG_pathway,map01200
605,Synpcc7942_0222,KEGG_pathway,-
606,Synpcc7942_0224,KEGG_pathway,-
609,Synpcc7942_0225,KEGG_pathway,map00195
610,Synpcc7942_0225,KEGG_pathway,map01100
613,Synpcc7942_0226,KEGG_pathway,map03060
614,Synpcc7942_0226,KEGG_pathway,map03070
615,Synpcc7942_0227,KEGG_pathway,-
616,Synpcc7942_0228,KEGG_pathway,-
617,Synpcc7942_0229,KEGG_pathway,-
618,Synpcc7942_0230,KEGG_pathway,-
619,Synpcc7942_0231,KEGG_pathway,-
625,Synpcc7942_0232,KEGG_pathway,map00400
626,Synpcc7942_0232,KEGG_pathway,map01100
627,Synpcc7942_0232,KEGG_pathway,map01110
628,Synpcc7942_0232,KEGG_pathway,map01130
629,Synpcc7942_0232,KEGG_pathway,map01230
630,Synpcc7942_0233,KEGG_pathway,-
631,Synpcc7942_0234,KEGG_pathway,-
632,Synpcc7942_0235,KEGG_pathway,-
633,Synpcc7942_0237,KEGG_pathway,-
634,Synpcc7942_0238,KEGG_pathway,-
636,Synpcc7942_0239,KEGG_pathway,map00195
639,Synpcc7942_0240,KEGG_pathway,map00196
640,Synpcc7942_0240,KEGG_pathway,map01100
641,Synpcc7942_0241,KEGG_pathway,-
642,Synpcc7942_0242,KEGG_pathway,-
646,Synpcc7942_0243,KEGG_pathway,map00860
647,Synpcc7942_0243,KEGG_pathway,map01100
648,Synpcc7942_0243,KEGG_pathway,map01110
657,Synpcc7942_0244,KEGG_pathway,map00500
658,Synpcc7942_0244,KEGG_pathway,map01100
659,Synpcc7942_0244,KEGG_pathway,map01110
660,Synpcc7942_0244,KEGG_pathway,map02026
661,Synpcc7942_0244,KEGG_pathway,map04217
662,Synpcc7942_0244,KEGG_pathway,map04910
663,Synpcc7942_0244,KEGG_pathway,map04922
664,Synpcc7942_0244,KEGG_pathway,map04931
675,Synpcc7942_0245,KEGG_pathway,map00010
676,Synpcc7942_0245,KEGG_pathway,map00710
677,Synpcc7942_0245,KEGG_pathway,map01100
678,Synpcc7942_0245,KEGG_pathway,map01110
679,Synpcc7942_0245,KEGG_pathway,map01120
680,Synpcc7942_0245,KEGG_pathway,map01130
681,Synpcc7942_0245,KEGG_pathway,map01200
682,Synpcc7942_0245,KEGG_pathway,map01230
683,Synpcc7942_0245,KEGG_pathway,map04066
684,Synpcc7942_0245,KEGG_pathway,map05010
686,Synpcc7942_0246,KEGG_pathway,map02010
688,Synpcc7942_0247,KEGG_pathway,map02010
690,Synpcc7942_0248,KEGG_pathway,map02010
693,Synpcc7942_0249,KEGG_pathway,map02010
694,Synpcc7942_0249,KEGG_pathway,map02020
701,Synpcc7942_0251,KEGG_pathway,map00230
702,Synpcc7942_0251,KEGG_pathway,map00240
703,Synpcc7942_0251,KEGG_pathway,map01100
704,Synpcc7942_0251,KEGG_pathway,map03030
705,Synpcc7942_0251,KEGG_pathway,map03430
706,Synpcc7942_0251,KEGG_pathway,map03440
707,Synpcc7942_0252,KEGG_pathway,-
708,Synpcc7942_0254,KEGG_pathway,-
