Geneid,SRX15590299,SRX15590300,SRX15590301,SRX15590302,SRX15590303,SRX15590304,SRX15590305,SRX15590306,SRX15590307,SRX15590308,SRX15590309,SRX15590310,SRX15590311,SRX15590312,SRX15590313,SRX15590314,SRX15590315,SRX15590316,SRX15590317,SRX15590318,SRX15590319,SRX15947806,SRX15947807,SRX15947808,SRX15947809,SRX15947810,SRX15947812,SRX15947813,SRX15947814,SRX15947815,SRX15947816
Synpcc7942_0005,4.94082232382584,3.146824257041478,5.385489598612031,8.811171842882594,9.255489721360885,3.3105753459800233,4.591564805785564,4.413446562104276,5.0071731044336945,4.5661760871579915,4.1165135123907834,2.9367012962767607,4.986471110873599,4.670901555572837,4.910734591416035,4.664467256097434,4.928102250504913,5.37911131930974,5.049356616852986,4.799310386269257,5.396063055248302,5.2783457607055615,8.36672295144565,5.64340975669675,5.8338505557607165,4.368261471108432,4.746896995446836,6.337721853819497,6.372796902734359,8.33643377344561,8.287261194411045
Synpcc7942_0006,4.242562737330486,4.265698299013286,4.743892562280757,5.403770615914775,4.370507060089606,3.8275649008314314,3.370566297443044,3.0101900786060525,4.195480437592582,2.9876045944698824,3.4045104160888204,3.5474921061596296,4.353092698050807,2.6674235280726832,4.073618211645189,3.1643766254151364,3.8065423427224623,5.040774991004118,4.01333762415483,3.937242705466688,4.751298153628141,5.603319623022705,7.932367511333965,5.7740336326594806,5.628865738427247,4.808490408263156,4.917561793025719,5.218350465609429,5.16062659359861,8.089891663781724,8.003328172886885
Synpcc7942_0007,5.792737264094464,5.6075139924485065,6.145245698259609,6.303892154590354,6.142705692298271,5.310334642061626,5.122944206115534,5.242614021603296,5.626786458586955,5.217486989196944,4.702884936837093,5.078518072196178,6.133101404795256,5.433727299977458,5.923712319165484,5.739174424493027,5.626196442191768,6.404411745805916,5.982502778857811,5.998868959365461,6.217426177754218,6.108615129940881,8.420580194649197,6.224719262400347,6.511777575730925,5.613448292614983,5.58902912283795,6.278393842129748,5.876062139585342,8.501381812430935,8.594071261773943
Synpcc7942_0008,5.562060275997662,5.940739044620862,5.82096849600157,0.0,3.7630368167212143,5.6746696284886395,5.850651964118095,5.261370453984547,5.852414413726094,5.677779583304412,5.061011307490775,5.526258051385679,6.096167530962111,6.080842322928758,6.457791313774704,5.712213001288514,5.937532275382974,6.526108609879259,5.6928598976223705,6.004630347539647,5.973950792089151,7.042068269260641,7.72734100604026,7.025302735184051,7.197864848798929,6.597529305973561,6.710429445267488,7.21971128585767,7.243489919047443,7.811200555176692,7.932496545652813
Synpcc7942_0009,6.732692628481246,7.126192004711617,7.309838059464758,6.65212069448335,6.238747774479267,6.975334511270093,6.7704379328844615,6.650370246514843,7.133783587206271,6.802687758914098,6.5417031351090325,7.397008358377018,6.920796101348078,6.618957294805584,7.043470546330047,6.57306690496756,6.779207831674513,7.1845987690903375,6.685488100399481,6.540066783801844,6.962938241173133,7.585410431935723,8.63040438035179,7.694082646759028,7.982863651018171,7.750919205770387,7.961375185394099,7.89739485047801,8.020735235939195,8.641633695251617,8.677401025593321
Synpcc7942_0010,6.917916971618557,6.961991524215776,6.964087652163565,7.102910264530248,7.103033786697999,6.732836981899537,6.961160290798196,6.627146956897951,6.850160091460352,6.707680691578868,6.445504583459024,6.919104862849835,6.746009006311816,6.702691861595955,6.738824377142557,7.067682252948779,6.884654304992263,7.190247383755619,7.418200722444023,7.458694211482471,7.508785412044657,6.609853123210095,8.796410518891877,6.5554365961714645,6.7333909907853355,6.797299787841234,5.939224908776654,6.310402234914393,6.351999428080713,9.181454419327176,9.38071154197224
Synpcc7942_0011,6.20766252475233,5.550640480701998,6.000618315205531,8.240093695294872,8.45632527458921,5.785242651623127,6.139653586473349,5.345703169429377,6.232451856906175,6.1360283672988105,5.319690872853703,5.418212180319095,6.153595778065695,5.329129255713915,5.95843981173956,5.758199746609874,5.812342104770097,6.1643263172761795,5.849792864797606,5.727118795730943,6.022860658066278,8.655692847270444,9.231901596493213,8.630128734175086,8.348291167435995,8.105506024297258,7.877260191257493,7.905755714801508,7.965959711150013,9.47908789015539,9.388499097474964
Synpcc7942_0012,8.94087536272429,9.028757583537963,8.952462867629528,7.218069774622971,8.117291947463203,8.4470861921655,9.236068433562272,8.849534499178041,8.900346222842929,9.395079817882412,8.644180493119196,8.866936187597307,9.142433971113155,9.038807842917528,8.95018774141368,9.575064447552107,8.724567969925383,9.252357519983052,10.241328583931352,10.389767897429948,10.20267497162365,8.783145204390493,8.941582058949953,8.725416679798748,8.741170327688788,9.366189905366184,9.378214935993029,9.329813062155102,9.561080189068518,9.097266101491813,9.063626891220984
Synpcc7942_0013,9.35556416001091,9.774652407480756,10.10775176048361,9.414903145403583,9.185591158537132,8.962534967904126,8.536548840905992,10.19585395272993,10.117334421570641,7.789363288855077,9.075990613664713,5.267304029780759,10.540986917332859,10.415866185427703,10.907590121201514,11.853118828838946,11.166990435355387,11.464096230171993,11.664090056115777,10.757516171029668,11.926216710521244,7.089952171814413,9.045501258075868,7.350801457793664,7.848639284083,7.436185941843889,7.742054226247708,6.819541867507753,7.640760669135395,9.248846665581185,9.215071449499817
Synpcc7942_0014,8.771111534594315,5.472301662262976,9.37245218709824,11.76201628263417,13.156535531055098,6.208403638850328,8.064325322613877,9.615622219025164,9.605702297475096,7.720601591832178,8.61708886062323,5.22318948105827,9.98159005539065,9.754485846207496,10.192757557095065,11.220139687266862,10.579026900348977,11.008589976182545,11.059434040938484,10.272154612761057,11.459573316221359,7.28621360203349,9.464081407871925,7.134797399423534,7.6009616089455605,7.3091262734706675,7.082940874930139,7.510916632826501,7.5680607675690865,9.624639967931536,9.651302451474221
Synpcc7942_0015,5.367960115090867,2.9735863903605995,6.131214572028535,9.15840674077735,9.422471003097481,3.151245144307353,5.224403063548454,5.663486079606256,6.012667100590062,4.920403035799034,4.881810472408097,3.73294143472376,6.49452175253286,6.00621645285769,6.482009537577674,7.5703092182193625,6.968940329611338,7.949178092540227,7.659168974442673,6.498533396778743,7.912906682261493,5.563642907482057,8.884527642473914,5.668438394465849,6.092889248230913,4.881268694806407,4.947273467381474,5.462702801307543,5.6340979667559585,9.091069565699659,9.171870296379522
Synpcc7942_0016,5.234801036541395,4.857858215698171,5.0848401093853965,8.360301161340917,8.26434393073582,4.8448015175868155,5.186691312612015,5.0898103075377215,5.249512137531215,4.8939298500930395,4.827155449324263,4.421600290088424,5.696138871205103,5.44683872755822,5.805861122385145,5.693035653122096,5.811638696826765,6.306092099820834,5.979688396168376,6.012657831911582,5.967696630469083,6.727736301611454,9.123810023427717,6.882852790158802,7.177719482200539,5.965334039134592,6.075982725479736,6.014694641639693,6.5238233051928205,9.497731221223198,9.59106841200139
Synpcc7942_0017,6.056611218644766,3.1232934315376717,5.7185980265419785,10.217213230960796,10.468682411430695,4.023715966875134,5.732549762646567,5.762327589643265,5.80749840305942,5.563070101937205,5.708265385795371,4.106056070940851,6.4490439611215065,6.14955107206141,6.1904672976495165,6.127898227292871,6.082305900742915,6.419856521010178,6.342317854385057,6.386333254996551,6.468663952224626,6.000163318481615,8.851613904316187,6.082090745692709,6.119237996168709,5.186143733699434,4.999295503584449,4.890292717168288,5.5947481273178505,9.11763976502496,9.132695703139774
Synpcc7942_0018,5.463266123486247,5.847431889586816,6.146659743929649,5.91809074280895,5.681052597437186,5.891642414067025,5.088952863065076,5.342207294621703,5.957926765558248,5.115967194937132,5.01691704084638,5.761096567369501,5.701865608358373,5.22313694484516,5.868727671741831,5.647447263868856,5.861682310684541,6.270525232693276,5.366175450007017,5.323980940806842,5.6496210535218605,6.545403955041248,8.094852208497649,6.763385889771319,6.993561263914638,6.776316351646135,6.789788882719293,7.02241251627692,7.140915674577716,8.317823309566242,8.369146331642643
Synpcc7942_0019,5.479632455880723,5.529118717372231,5.626791844323544,7.656694450054149,7.502846159166636,5.121850545368136,5.121718368214089,5.341508536872031,5.657375273699746,4.860910853629834,4.99672175716234,5.271146132769926,5.745482395047351,5.74603538991988,5.359082613267154,5.610496853314874,6.144734062948296,5.891628017834233,5.957202402108807,6.3710522197474635,5.873852447224395,6.527609273485978,7.868406984513287,6.669575003518043,6.410044809481028,6.522727670309169,6.075831514423914,7.7877836387467685,7.504574859134495,7.976895459042371,8.015728073937693
Synpcc7942_0020,4.501828511506939,3.8868519084860327,4.419876575407975,7.215011086444125,6.938228628220055,3.6156008700260784,4.109810128632873,4.060761265616834,4.538153669299782,4.187686990892739,3.591080670060588,4.18022955171049,4.674944977657447,4.610527783696279,4.191392348312677,4.654088176242232,4.640566145076175,4.850143723662311,4.666044190974669,4.676789316533021,4.957456490831208,5.2362477915218335,7.915230694904793,5.398979688870689,5.218420426186093,4.480694751527675,4.59395331179865,5.936733567873356,5.680646729933582,8.077401171636984,8.144986463837197
