"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Synpcc7942_0162",80.3167795800675,-1.86783190460235,0.38564959610629,-4.8433394549376,1.27674888559219e-06,3.82594300884761e-05
"Synpcc7942_0163",419.800757283293,-1.28506474533404,0.362740390168304,-3.54265689778245,0.000396117706908607,0.00337522659528836
"Synpcc7942_0167",75.266811730849,1.63850968638393,0.568200759438408,2.88368091588505,0.00393056798582502,0.0181039926852203
"Synpcc7942_0168",490.919263676962,1.47348629919474,0.599867072334065,2.45635469448497,0.0140354549821223,0.0441942838693271
"Synpcc7942_0175",35.0187203904247,-1.35461853208632,0.556909351408074,-2.43238604031579,0.0149997108289382,0.0463849879014325
"Synpcc7942_0179",567.708223338523,-1.61776981092638,0.632326171554548,-2.55844196192157,0.010514236929798,0.0360161648437122
"Synpcc7942_0183",215.849695013217,-1.76983661590278,0.400138597852979,-4.42305897356361,9.7313164513535e-06,0.000196616825573938
"Synpcc7942_0184",1075.34007870193,-1.50446027832199,0.602354917508689,-2.49763093915522,0.0125026282222756,0.0405158073740085
"Synpcc7942_0193",183.817500981296,-3.10117135981168,0.718222175601335,-4.31784406714427,1.57560677076688e-05,0.00028392859848887
"Synpcc7942_0195",979.03504908039,-4.51831604405445,0.573990080458835,-7.87176677416204,3.49667568781331e-15,1.86512681187962e-12
"Synpcc7942_0197",1569.26334379477,1.15430259592925,0.266088500620469,4.33804013791513,1.43758905165018e-05,0.000264713590127304
"Synpcc7942_0199",622.426142677614,1.29175554487831,0.44640350384974,2.89369490547976,0.00380737910844758,0.017752237905996
"Synpcc7942_0201",610.623093314219,1.21504840309201,0.504393950633112,2.40892739012212,0.0159994807632688,0.0485444996537405
"Synpcc7942_0202",1700.44966287305,1.11645303334256,0.420551903468806,2.65473304040193,0.00793711945828522,0.0299487066805307
"Synpcc7942_0204",397.817341473827,-1.10983464036363,0.336954135730517,-3.29372612672496,0.000988687800874928,0.00672660807380978
"Synpcc7942_0220",526.92985976985,1.10769529481863,0.234985272884037,4.71389241216521,2.43029016584533e-06,6.41740977456385e-05
