Sample	Reads passing filters
km_dark_4h_1	9934978.0
km_dark_4h_2	12945821.0
light_0110_KO_1	12317661.0
light_0110_KO_2	13711958.0
light_0616_KO_1	9584803.0
light_0616_KO_2	12942738.0
light_1684_KO_1	14216602.0
light_1684_KO_2	10508725.0
post_uv_2hrs_1	10203070.0
post_uv_2hrs_2	8803111.0
post_uv_2hrs_3	9875635.0
post_uv_control_1	9519981.0
post_uv_control_2	11189687.0
wt_LL_1	9009004.0
wt_LL_2	10386850.0
wt_dark_4h_1	11953769.0
wt_dark_4h_2	10608746.0
