Sample	Sense	Antisense	Undetermined
SRX3211350	6.01	50.63999999999999	43.35
SRX3211351	7.920000000000001	50.449999999999996	41.63
SRX3211352	6.05	54.22	39.73
SRX3211353	2.98	57.64	39.39
SRX3211354	4.37	59.18	36.449999999999996
SRX3211355	4.24	51.019999999999996	44.75
SRX3211356	6.12	42.9	50.980000000000004
SRX3211357	2.58	47.58	49.830000000000005
SRX3211358	6.5	54.169999999999995	39.34
SRX3211359	12.120000000000001	55.489999999999995	32.39
SRX3211360	4.81	60.49	34.71
SRX3312459	5.510000000000001	55.66	38.83
SRX3312460	7.670000000000001	53.55	38.79
SRX3312461	6.0600000000000005	61.62	32.32
SRX3312462	5.72	68.2	26.08
SRX3312463	5.3	67.44	27.26
SRX3312464	5.27	64.66	30.070000000000004
SRX3312465	3.6999999999999997	70.55	25.75
SRX3312466	5.16	72.91	21.92
SRX3312467	4.82	71.41	23.78
SRX3312468	8.62	47.42	43.96
SRX3312469	7.829999999999999	44.21	47.96
SRX3312470	7.86	47.339999999999996	44.81
SRX3312471	5.76	55.48	38.76
SRX3312472	5.89	50.760000000000005	43.35
SRX3312473	6.0600000000000005	47.88	46.06
SRX3312474	5.93	48.26	45.800000000000004
SRX3312475	6.17	45.82	48.0
SRX3312476	4.62	44.24	51.13999999999999
SRX3312477	7.13	54.669999999999995	38.2
SRX3312478	4.81	58.74	36.449999999999996
SRX3312479	6.260000000000001	62.99	30.75
SRX3312480	3.82	68.34	27.839999999999996
SRX3312481	3.35	70.98	25.679999999999996
SRX3312482	4.09	66.47	29.439999999999998
SRX3312483	4.17	70.52000000000001	25.31
SRX3312484	5.12	71.39	23.49
SRX3312485	5.79	66.24	27.97
SRX3312486	9.01	41.56	49.43
SRX3312487	6.38	42.32	51.300000000000004
SRX3312488	7.829999999999999	43.309999999999995	48.86
SRX3312489	8.35	50.839999999999996	40.81
SRX3312490	7.35	56.489999999999995	36.16
SRX3312491	5.19	51.66	43.15
SRX3312492	5.6899999999999995	58.209999999999994	36.1
SRX3312493	3.91	56.54	39.550000000000004
SRX3312494	7.180000000000001	51.85999999999999	40.96
SRX359366	4.8500000000000005	40.78	54.37
SRX359367	13.389999999999999	46.43	40.18
SRX359368	7.89	46.489999999999995	45.61
SRX359369	3.2300000000000004	70.32000000000001	26.450000000000003
SRX359370	9.33	57.99999999999999	32.67
SRX359371	5.65	56.45	37.9
SRX359372	7.960000000000001	53.98	38.05
SRX359373	5.9799999999999995	56.410000000000004	37.61
SRX359374	5.66	47.17	47.17
SRX359375	9.84	55.74	34.43
SRX359376	5.04	64.03	30.94
SRX359377	6.94	65.97	27.08
SRX359378	2.7	59.46	37.84
SRX359379	7.249999999999999	55.06999999999999	37.68
SRX359380	13.04	47.83	39.129999999999995
SRX359381	4.9399999999999995	49.38	45.68
SRX359382	11.219999999999999	46.94	41.839999999999996
SRX359383	8.42	48.42	43.16
SRX4105497	3.6999999999999997	68.17	28.13
SRX4105498	4.55	61.57	33.879999999999995
SRX4105499	2.69	73.66	23.66
SRX4105500	3.2800000000000002	68.85	27.87
SRX4105501	4.4799999999999995	65.16999999999999	30.349999999999998
SRX4105502	12.950000000000001	70.5	16.55
SRX4105503	5.86	67.71000000000001	26.43
SRX4105504	6.09	60.92999999999999	32.97
SRX4105505	4.6899999999999995	66.67	28.65
SRX4105506	0.0	0.0	100.0
SRX4105507	0.0	0.0	100.0
SRX4105508	6.9	75.86	17.24
SRX4105509	3.6799999999999997	72.63	23.68
SRX4105510	7.84	71.24000000000001	20.919999999999998
SRX4105511	2.6599999999999997	39.26	58.08
SRX4105512	3.9800000000000004	47.46	48.57
SRX4105513	6.2	57.75	36.05
SRX4105514	4.19	46.56	49.25
SRX4105515	2.13	57.45	40.43
SRX4105516	4.63	64.29	31.080000000000002
SRX4105517	1.44	71.22	27.339999999999996
SRX4105518	0.0	72.38	27.62
SRX4105519	0.0	98.15	1.8499999999999999
SRX4105520	3.64	63.63999999999999	32.73
SRX4105521	10.71	57.14	32.14
SRX4105522	5.2	67.34	27.46
SRX4105523	0.0	84.09	15.909999999999998
SRX4105524	8.82	82.35	8.82
SRX4105525	2.12	64.71000000000001	33.17
SRX4105526	7.6899999999999995	39.28	53.02
SRX4105527	4.4799999999999995	58.01	37.51
SRX4105529	4.21	64.77000000000001	31.019999999999996
SRX4105530	2.9499999999999997	60.11	36.94
SRX4105531	0.0	83.33	16.669999999999998
SRX4105532	0.0	63.63999999999999	36.36
SRX4105533	2.32	63.94	33.73
SRX4105534	9.13	34.98	55.88999999999999
SRX4105535	7.5200000000000005	35.709999999999994	56.769999999999996
SRX4105536	5.04	60.699999999999996	34.27
SRX4105537	3.9600000000000004	61.23	34.82
SRX4105538	4.130000000000001	58.17	37.69
SRX4105539	2.76	65.48	31.77
SRX4105540	5.510000000000001	60.36	34.12
SRX4105541	7.090000000000001	36.17	56.74
SRX4105542	4.9799999999999995	43.82	51.2
SRX4105543	6.619999999999999	42.53	50.849999999999994
SRX4105544	5.7	42.230000000000004	52.07000000000001
SRX4105545	6.260000000000001	42.75	50.980000000000004
SRX4105546	2.9000000000000004	54.449999999999996	42.65
SRX4105547	8.219999999999999	52.05	39.73
SRX4105548	7.779999999999999	43.71	48.5
SRX4105549	0.0	33.33	66.67
SRX4105550	8.14	60.47	31.4
SRX4105551	0.0	82.0	18.0
SRX4105552	5.5	62.839999999999996	31.65
SRX4105553	8.33	61.9	29.759999999999998
SRX4105554	5.75	48.28	45.98
SRX4105555	2.48	37.0	60.529999999999994
SRX4105556	4.2299999999999995	42.33	53.44
SRX4105557	5.489999999999999	47.65	46.87
SRX4105558	6.21	45.4	48.39
SRX4105559	2.68	49.3	48.03
SRX4105560	8.59	53.28000000000001	38.129999999999995
SRX4105561	1.6500000000000001	60.99	37.36
SRX4105562	4.0	45.33	50.67
