Module	Section	Sample Name	Source
RSeQC	infer_experiment	post_uv_control_1	/home/annie/Documents/modulome-nextflow/aws_results/rseqc/post_uv_control_1.infer_experiment.txt
RSeQC	infer_experiment	SRX15590311	/home/annie/Documents/modulome-nextflow/aws_results/rseqc/SRX15590311.infer_experiment.txt
RSeQC	infer_experiment	SRX15590304	/home/annie/Documents/modulome-nextflow/aws_results/rseqc/SRX15590304.infer_experiment.txt
RSeQC	infer_experiment	km_dark_4h_1	/home/annie/Documents/modulome-nextflow/aws_results/rseqc/km_dark_4h_1.infer_experiment.txt
RSeQC	infer_experiment	post_uv_control_2	/home/annie/Documents/modulome-nextflow/aws_results/rseqc/post_uv_control_2.infer_experiment.txt
RSeQC	infer_experiment	wt_LL_2	/home/annie/Documents/modulome-nextflow/aws_results/rseqc/wt_LL_2.infer_experiment.txt
RSeQC	infer_experiment	light_0616_KO_2	/home/annie/Documents/modulome-nextflow/aws_results/rseqc/light_0616_KO_2.infer_experiment.txt
RSeQC	infer_experiment	light_0110_KO_2	/home/annie/Documents/modulome-nextflow/aws_results/rseqc/light_0110_KO_2.infer_experiment.txt
RSeQC	infer_experiment	SRX15590319	/home/annie/Documents/modulome-nextflow/aws_results/rseqc/SRX15590319.infer_experiment.txt
RSeQC	infer_experiment	SRX15590299	/home/annie/Documents/modulome-nextflow/aws_results/rseqc/SRX15590299.infer_experiment.txt
RSeQC	infer_experiment	UV_exposure_2	/home/annie/Documents/modulome-nextflow/aws_results/rseqc/UV_exposure_2.infer_experiment.txt
RSeQC	infer_experiment	SRX15590318	/home/annie/Documents/modulome-nextflow/aws_results/rseqc/SRX15590318.infer_experiment.txt
RSeQC	infer_experiment	SRX15590307	/home/annie/Documents/modulome-nextflow/aws_results/rseqc/SRX15590307.infer_experiment.txt
RSeQC	infer_experiment	km_LL_2	/home/annie/Documents/modulome-nextflow/aws_results/rseqc/km_LL_2.infer_experiment.txt
RSeQC	infer_experiment	light_0110_KO_1	/home/annie/Documents/modulome-nextflow/aws_results/rseqc/light_0110_KO_1.infer_experiment.txt
RSeQC	infer_experiment	post_uv_2hrs_1	/home/annie/Documents/modulome-nextflow/aws_results/rseqc/post_uv_2hrs_1.infer_experiment.txt
RSeQC	infer_experiment	km_dark_4h_2	/home/annie/Documents/modulome-nextflow/aws_results/rseqc/km_dark_4h_2.infer_experiment.txt
RSeQC	infer_experiment	SRX15947815	/home/annie/Documents/modulome-nextflow/aws_results/rseqc/SRX15947815.infer_experiment.txt
RSeQC	infer_experiment	SRX15590316	/home/annie/Documents/modulome-nextflow/aws_results/rseqc/SRX15590316.infer_experiment.txt
RSeQC	infer_experiment	light_1684_KO_2	/home/annie/Documents/modulome-nextflow/aws_results/rseqc/light_1684_KO_2.infer_experiment.txt
RSeQC	infer_experiment	post_uv_2hrs_3	/home/annie/Documents/modulome-nextflow/aws_results/rseqc/post_uv_2hrs_3.infer_experiment.txt
RSeQC	infer_experiment	dark_4h_0110_KO_1	/home/annie/Documents/modulome-nextflow/aws_results/rseqc/dark_4h_0110_KO_1.infer_experiment.txt
RSeQC	infer_experiment	UV_control_3	/home/annie/Documents/modulome-nextflow/aws_results/rseqc/UV_control_3.infer_experiment.txt
RSeQC	infer_experiment	SRX15590312	/home/annie/Documents/modulome-nextflow/aws_results/rseqc/SRX15590312.infer_experiment.txt
RSeQC	infer_experiment	SRX15947812	/home/annie/Documents/modulome-nextflow/aws_results/rseqc/SRX15947812.infer_experiment.txt
RSeQC	infer_experiment	SRX15590305	/home/annie/Documents/modulome-nextflow/aws_results/rseqc/SRX15590305.infer_experiment.txt
RSeQC	infer_experiment	SRX15590313	/home/annie/Documents/modulome-nextflow/aws_results/rseqc/SRX15590313.infer_experiment.txt
RSeQC	infer_experiment	SRX15947810	/home/annie/Documents/modulome-nextflow/aws_results/rseqc/SRX15947810.infer_experiment.txt
RSeQC	infer_experiment	SRX15947814	/home/annie/Documents/modulome-nextflow/aws_results/rseqc/SRX15947814.infer_experiment.txt
RSeQC	infer_experiment	SRX15947806	/home/annie/Documents/modulome-nextflow/aws_results/rseqc/SRX15947806.infer_experiment.txt
RSeQC	infer_experiment	dark_4h_1684_KO_2	/home/annie/Documents/modulome-nextflow/aws_results/rseqc/dark_4h_1684_KO_2.infer_experiment.txt
RSeQC	infer_experiment	UV_control_1	/home/annie/Documents/modulome-nextflow/aws_results/rseqc/UV_control_1.infer_experiment.txt
RSeQC	infer_experiment	dark_4h_0616_KO_1	/home/annie/Documents/modulome-nextflow/aws_results/rseqc/dark_4h_0616_KO_1.infer_experiment.txt
RSeQC	infer_experiment	wt_dark_4h_2	/home/annie/Documents/modulome-nextflow/aws_results/rseqc/wt_dark_4h_2.infer_experiment.txt
RSeQC	infer_experiment	dark_4h_1684_KO_1	/home/annie/Documents/modulome-nextflow/aws_results/rseqc/dark_4h_1684_KO_1.infer_experiment.txt
RSeQC	infer_experiment	dark_4h_0616_KO_2	/home/annie/Documents/modulome-nextflow/aws_results/rseqc/dark_4h_0616_KO_2.infer_experiment.txt
RSeQC	infer_experiment	light_0616_KO_1	/home/annie/Documents/modulome-nextflow/aws_results/rseqc/light_0616_KO_1.infer_experiment.txt
RSeQC	infer_experiment	light_1684_KO_1	/home/annie/Documents/modulome-nextflow/aws_results/rseqc/light_1684_KO_1.infer_experiment.txt
RSeQC	infer_experiment	SRX15947816	/home/annie/Documents/modulome-nextflow/aws_results/rseqc/SRX15947816.infer_experiment.txt
RSeQC	infer_experiment	SRX15590302	/home/annie/Documents/modulome-nextflow/aws_results/rseqc/SRX15590302.infer_experiment.txt
RSeQC	infer_experiment	wt_dark_4h_1	/home/annie/Documents/modulome-nextflow/aws_results/rseqc/wt_dark_4h_1.infer_experiment.txt
Cutadapt	all_sections	post_uv_2hrs_2	/home/annie/Documents/modulome-nextflow/aws_results/trim_reports/post_uv_2hrs_2_2.fastq.gz_trimming_report.txt
Cutadapt	all_sections	SRX15590306	/home/annie/Documents/modulome-nextflow/aws_results/trim_reports/SRX15590306_1.fastq.gz_trimming_report.txt
Cutadapt	all_sections	SRX15590303	/home/annie/Documents/modulome-nextflow/aws_results/trim_reports/SRX15590303_1.fastq.gz_trimming_report.txt
Cutadapt	all_sections	post_uv_control_1	/home/annie/Documents/modulome-nextflow/aws_results/trim_reports/post_uv_control_1_1.fastq.gz_trimming_report.txt
Cutadapt	all_sections	km_LL_1	/home/annie/Documents/modulome-nextflow/aws_results/trim_reports/km_LL_1_2.fastq.gz_trimming_report.txt
Cutadapt	all_sections	SRX15947806	/home/annie/Documents/modulome-nextflow/aws_results/trim_reports/SRX15947806_1.fastq.gz_trimming_report.txt
Cutadapt	all_sections	km_LL_2	/home/annie/Documents/modulome-nextflow/aws_results/trim_reports/km_LL_2_2.fastq.gz_trimming_report.txt
Cutadapt	all_sections	light_0616_KO_2	/home/annie/Documents/modulome-nextflow/aws_results/trim_reports/light_0616_KO_2_1.fastq.gz_trimming_report.txt
Cutadapt	all_sections	SRX15947813	/home/annie/Documents/modulome-nextflow/aws_results/trim_reports/SRX15947813_1.fastq.gz_trimming_report.txt
Cutadapt	all_sections	light_1684_KO_1	/home/annie/Documents/modulome-nextflow/aws_results/trim_reports/light_1684_KO_1_2.fastq.gz_trimming_report.txt
Cutadapt	all_sections	SRX15590315	/home/annie/Documents/modulome-nextflow/aws_results/trim_reports/SRX15590315_1.fastq.gz_trimming_report.txt
Cutadapt	all_sections	SRX15590317	/home/annie/Documents/modulome-nextflow/aws_results/trim_reports/SRX15590317_1.fastq.gz_trimming_report.txt
Cutadapt	all_sections	light_0616_KO_1	/home/annie/Documents/modulome-nextflow/aws_results/trim_reports/light_0616_KO_1_2.fastq.gz_trimming_report.txt
