Sample	Total	Assigned	Unassigned_rRNA	Unassigned_Unmapped	Unassigned_Read_Type	Unassigned_Singleton	Unassigned_MappingQuality	Unassigned_Chimera	Unassigned_FragmentLength	Unassigned_Duplicate	Unassigned_MultiMapping	Unassigned_Secondary	Unassigned_NonSplit	Unassigned_NoFeatures	Unassigned_Overlapping_Length	Unassigned_Ambiguity	percent_assigned	reads_processed	reads_aligned	reads_aligned_percentage	not_aligned	not_aligned_percentage	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content	per_tile_sequence_quality	cutadapt_version	r_processed	r_with_adapters	r_written	bp_processed	quality_trimmed	bp_written	percent_trimmed	se_sense	se_antisense	failed	pe_sense	pe_antisense
SRX15590304	6869606.0	3944642.0	36911.0	1442515.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1182370.0	261152.0	2016.0	57.42166290177341	6869606.0	5427091.0	79.0	1442515.0	21.0	SRX15590304_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6869606.0	0.0	20-100	54.0	29.79547524367924	95.97784356191607	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass		2.6	7036951	2069149	7036951	703695100	38496664	662333909	5.877714794376144	0.0	0.2	0.8		
SRX15590305	6758127.0	4795565.0	26374.0	135612.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1487148.0	309003.0	4425.0	70.95997160159908	6758127.0	6622515.0	97.99	135612.0	2.01	SRX15590305_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6758127.0	0.0	20-100	54.0	23.7309069784474	95.7303661206722	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass		2.6	6941341	2130531	6941341	694134100	40178133	650075711	6.3472445742112376	0.0	0.0	1.0		
SRX15590306	6699604.0	4803643.0	30630.0	144382.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1408501.0	307954.0	4494.0	71.7004019939089	6699604.0	6555222.0	97.84	144382.0	2.16	SRX15590306_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6699604.0	0.0	20-100	55.0	23.353710701138517	95.86390359788427	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass		2.6	6894458	2117606	6894458	689445800	40019174	645333823	6.398179088189384					
SRX15590307	5916773.0	4364684.0	24317.0	121607.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1124702.0	277119.0	4344.0	73.76798129656149	5916773.0	5795166.0	97.94	121607.0	2.06	SRX15590307_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	5916773.0	0.0	20-100	55.0	25.84382271626809	95.77380305108883	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass		2.6	6065989	1830661	6065989	606598900	34657456	569369977	6.1373212183536765	0.0	0.0	1.0		
SRX15590308	7000688.0	4823784.0	35881.0	139625.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1674795.0	322225.0	4378.0	68.90442767910811	7000688.0	6861063.0	98.01	139625.0	1.99	SRX15590308_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7000688.0	0.0	20-100	54.0	22.535003328449637	95.96638330404096	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass		2.6	7187072	2228940	7187072	718707200	39536299	675024007	6.078023567872981					
SRX15590309	6701834.0	4672498.0	45019.0	159099.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1519912.0	301135.0	4171.0	69.71969165455306	6701834.0	6542735.0	97.63	159099.0	2.37	SRX15590309_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6701834.0	0.0	20-100	54.0	22.48546686041841	95.98155788400608	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass		2.6	6870817	2120358	6870817	687081700	36719722	646245922	5.943365687079135					
SRX15590310	6882776.0	4501510.0	29658.0	543344.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1479406.0	327069.0	1789.0	65.4025352561234	6882776.0	6339432.0	92.11	543344.0	7.89	SRX15590310_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6882776.0	0.0	20-100	54.0	26.029689451356408	95.96431962917288	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass		2.6	7045051	2119446	7045051	704505100	37995617	663552193	5.813003624814072	0.0	0.5	0.5		
SRX15590311	7580689.0	4527930.0	26279.0	158335.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2567919.0	294453.0	5773.0	59.729795009398224	7580689.0	7422354.0	97.91	158335.0	2.09	SRX15590311_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7580689.0	0.0	20-100	53.0	22.894782623487338	96.14744095160744	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass		2.6	7761056	2491854	7761056	776105600	39358726	732194679	5.657853905447919	0.0	0.0	1.0		
SRX15590312	8609673.0	4811606.0	56025.0	218474.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3215175.0	302497.0	5896.0	55.8860481693091	8609673.0	8391199.0	97.46	218474.0	2.54	SRX15590312_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	8609673.0	0.0	20-100	53.0	20.01308196468364	96.11968816934164	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass		2.6	8835840	2904048	8835840	883584000	46811432	831445797	5.900763594632768	0.0	0.0	1.0		
SRX15590313	7738940.0	5021690.0	25671.0	143826.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2221082.0	320272.0	6399.0	64.88860231504573	7738940.0	7595114.0	98.14	143826.0	1.86	SRX15590313_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7738940.0	0.0	20-100	54.0	22.73867022550939	96.0470141905739	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass		2.6	7932133	2446667	7932133	793213300	43033672	746761086	5.85620715134252	0.0	0.0	1.0		
