Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content	per_tile_sequence_quality
SRX15630044	SRX15630044_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3853247.0	0.0	20-150	50.0	15.529904072092894	149.0555874045967	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	
SRX15630045	SRX15630045_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3683358.0	0.0	20-150	51.0	12.787975389723735	149.02020004571915	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	
SRX15630046	SRX15630046_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3949722.0	0.0	21-150	52.0	13.063467448169359	148.938152862404	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	
SRX15630047	SRX15630047_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	4271685.0	0.0	20-150	51.0	12.41203530947608	149.0081307493413	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	
SRX15630048	SRX15630048_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3920609.0	0.0	20-150	51.0	12.99902817778288	148.94636777092538	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	
SRX15947806	SRX15947806_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9514921.0	0.0	20-51	54.0	21.84635511736915	50.50354017652905	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	
SRX15947807	SRX15947807_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12751861.0	0.0	20-51	55.0	29.79161377909227	50.55959659535185	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass	
SRX15947808	SRX15947808_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12588392.0	0.0	20-51	54.0	20.95715543271836	50.515931979239284	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	
SRX15947809	SRX15947809_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9071300.0	0.0	20-51	55.0	22.76018041225637	50.50556557494516	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	
SRX15947810	SRX15947810_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	11329696.0	0.0	20-51	54.0	16.882177083410525	50.52537473203164	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass	
