Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content	per_tile_sequence_quality
SRX3211359	SRX3211359_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9496680.0	0.0	20-50	55.0	3.9817191930397504	49.52132840108332	pass	pass	pass	fail	pass	pass	warn	fail	fail	pass	pass
SRX3211360	SRX3211360_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	8233057.0	0.0	20-50	55.0	17.93751637317655	49.55875247796778	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	warn
SRX3312459	SRX3312459_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	11859800.0	0.0	20-50	54.0	13.492529164939743	49.47861793622152	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	warn
SRX3312460	SRX3312460_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	11515913.0	0.0	20-50	54.0	12.430085594881659	49.52156298853595	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	warn
SRX3312461	SRX3312461_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	13737010.0	0.0	20-50	54.0	10.006822618880976	49.496852517396434	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	warn
SRX3312462	SRX3312462_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12947000.0	0.0	20-50	53.0	10.919464098285387	49.533885842280064	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	warn
SRX3312463	SRX3312463_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	13256903.0	0.0	20-50	53.0	10.485672051388944	49.51667097511387	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	warn
SRX3312464	SRX3312464_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17134598.0	0.0	20-50	52.0	8.27770313668025	49.51750610081427	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	warn
SRX3312465	SRX3312465_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	11702495.0	0.0	20-50	52.0	12.322847077081054	49.51423179416013	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	warn
SRX3312466	SRX3312466_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9332655.0	0.0	20-50	51.0	11.149472247713534	49.538500244571345	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	warn
SRX3312467	SRX3312467_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12048478.0	0.0	20-50	51.0	8.98532090854397	49.529386118313035	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	warn
SRX3312468	SRX3312468_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10758283.0	0.0	20-50	54.0	12.340023807693367	49.543676811625055	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	pass
SRX3312469	SRX3312469_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12599814.0	0.0	20-50	54.0	12.087589278993	49.531952535172344	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	pass
SRX3312470	SRX3312470_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	25794309.0	0.0	20-50	54.0	6.8654379266786165	49.53403306907737	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	pass
SRX3312471	SRX3312471_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17175605.0	0.0	20-50	54.0	9.071936742707623	49.52978162923519	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	pass
SRX3312472	SRX3312472_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17463827.0	0.0	20-50	54.0	9.397762224433983	49.484452978147345	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	pass
SRX3312473	SRX3312473_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	14157948.0	0.0	20-50	54.0	11.12468519156566	49.467579835721956	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	pass
SRX3312474	SRX3312474_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	11591662.0	0.0	20-50	53.0	8.189359203734636	49.395348656646476	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	pass
SRX3312475	SRX3312475_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	13404912.0	0.0	20-50	52.0	7.528853790046671	49.46421975765301	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	pass
SRX3312476	SRX3312476_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	11343259.0	0.0	20-50	52.0	6.830681990055336	49.45107521568537	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	pass
SRX3312477	SRX3312477_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	5679245.0	0.0	20-50	54.0	16.824111179985774	49.420369608988516	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	pass
SRX3312478	SRX3312478_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7303850.0	0.0	20-50	54.0	14.270053374733077	49.258795840549844	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	pass
SRX3312479	SRX3312479_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	8592259.0	0.0	20-50	54.0	13.404194504076115	49.303968956243054	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	pass
SRX3312480	SRX3312480_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	8784247.0	0.0	20-50	54.0	8.529476440991623	49.307121031546586	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	pass
SRX3312481	SRX3312481_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9906601.0	0.0	20-50	53.0	14.084857082225039	49.43605258756258	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	pass
SRX3312482	SRX3312482_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6954671.0	0.0	20-50	52.0	12.129420318946194	49.31986703612579	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	pass
SRX3312483	SRX3312483_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9224609.0	0.0	20-50	52.0	10.435940580120052	49.3532380613639	pass	pass	pass	fail	pass	pass	warn	fail	fail	pass	pass
SRX3312484	SRX3312484_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9476855.0	0.0	20-50	52.0	11.448663982489125	49.377308716868626	pass	pass	pass	fail	pass	pass	warn	fail	fail	pass	pass
SRX3312485	SRX3312485_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	11145617.0	0.0	20-50	52.0	11.147586657523076	49.36596888265584	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	pass
SRX3312486	SRX3312486_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10094641.0	0.0	20-50	55.0	10.559770686804654	49.39395764544772	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	pass
SRX3312487	SRX3312487_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	8371818.0	0.0	20-50	55.0	14.60171338068626	49.18227844895816	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	pass
SRX3312488	SRX3312488_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9908236.0	0.0	20-50	55.0	10.171220469989159	49.450150965318144	pass	pass	pass	fail	pass	pass	warn	fail	fail	pass	pass
SRX3312489	SRX3312489_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7901487.0	0.0	20-50	54.0	10.728452413031947	49.50475410514502	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	pass
SRX3312490	SRX3312490_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9275428.0	0.0	20-50	54.0	9.583444181914292	49.504290583679804	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	pass
SRX3312491	SRX3312491_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3400431.0	0.0	20-50	54.0	17.11946124161232	49.44947566940779	pass	pass	pass	fail	pass	pass	warn	fail	fail	pass	pass
SRX3312492	SRX3312492_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	22905513.0	0.0	20-50	53.0	7.051132736213442	49.45705101649546	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	pass
SRX3312493	SRX3312493_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10483460.0	0.0	20-50	53.0	7.578578234734594	49.42527543387393	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	pass
SRX3312494	SRX3312494_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6153832.0	0.0	20-50	52.0	8.10447803407435	49.42743740810604	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	pass
SRX359366	SRX359366_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	13659132.0	0.0	20-51	54.0	4.695810177780617	50.42215683983433	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	pass
SRX359367	SRX359367_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12017338.0	0.0	20-51	54.0	4.476593193762834	50.55882700478259	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	warn
SRX359368	SRX359368_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	11933774.0	0.0	20-51	54.0	4.524672877372426	50.614518592358124	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	warn
SRX359369	SRX359369_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	14201301.0	0.0	20-51	54.0	4.524964749018876	50.61072031358254	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	warn
SRX359370	SRX359370_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	11455370.0	0.0	20-51	54.0	5.117727503246647	50.5470780952514	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	warn
SRX359371	SRX359371_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12172509.0	0.0	20-51	54.0	4.797292158987409	50.59553433067907	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	pass
SRX359372	SRX359372_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9585273.0	0.0	20-51	54.0	4.156047334241813	50.584970714970765	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	pass
SRX359373	SRX359373_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	11590531.0	0.0	20-51	54.0	3.8746678774594088	50.592914250434255	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	pass
SRX359374	SRX359374_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12655792.0	0.0	20-51	54.0	3.793453301783825	50.611829192515174	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	warn
SRX359375	SRX359375_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	11790971.0	0.0	20-51	54.0	3.5957627472544473	50.63742205794586	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	warn
SRX359376	SRX359376_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10504781.0	0.0	20-51	54.0	4.261146328348936	50.59272439853815	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	pass
SRX359377	SRX359377_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	11571256.0	0.0	20-51	54.0	3.6772834579998754	50.61187212520404	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	pass
SRX359378	SRX359378_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10313195.0	0.0	20-51	54.0	4.332939118492314	50.528341799025426	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	pass
SRX359379	SRX359379_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9544087.0	0.0	20-51	54.0	4.244911364325155	50.576878123596316	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	warn
SRX359380	SRX359380_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10392541.0	0.0	20-51	54.0	3.895903319834587	50.51718140924342	pass	pass	pass	fail	pass	pass	warn	fail	fail	pass	pass
SRX359381	SRX359381_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9954919.0	0.0	20-51	54.0	4.309033376584215	50.58607568780821	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	pass
SRX359382	SRX359382_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12249229.0	0.0	20-51	54.0	4.273910675184712	50.545545356364876	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	warn
SRX359383	SRX359383_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12166072.0	0.0	20-51	54.0	4.071480542783624	50.55913256143807	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	pass
SRX4105497	SRX4105497_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	13547027.0	0.0	20-50	54.0	9.25356213974097	49.371099503972346	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	fail
SRX4105498	SRX4105498_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	18060491.0	0.0	20-50	54.0	5.923542845767053	49.41958327711024	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	fail
SRX4105499	SRX4105499_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12680705.0	0.0	20-50	54.0	6.277139058615826	49.40152247055664	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	fail
SRX4105500	SRX4105500_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	28677256.0	0.0	20-50	54.0	3.4620425916834527	49.37341274911379	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	fail
SRX4105501	SRX4105501_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12940664.0	0.0	20-50	54.0	6.583919543141496	49.39346844953242	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	fail
SRX4105502	SRX4105502_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	20576806.0	0.0	20-50	54.0	3.5125025837718287	49.36188969269575	pass	pass	pass	fail	pass	pass	warn	fail	fail	pass	fail
SRX4105503	SRX4105503_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	20933895.0	0.0	20-50	54.0	8.391713161363358	49.34140526643513	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	fail
SRX4105504	SRX4105504_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	18201496.0	0.0	20-50	54.0	6.352969180655767	49.39291643939597	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	fail
SRX4105505	SRX4105505_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	14407729.0	0.0	20-50	54.0	6.0742711448191935	49.375961818826546	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	fail
SRX4105506	SRX4105506_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	4480833.0	0.0	20-50	54.0	2.7402636455081297	49.5067700581566	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	warn
SRX4105507	SRX4105507_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3904744.0	0.0	20-50	54.0	3.1907021225626337	49.50081797936049	pass	pass	pass	fail	pass	pass	warn	fail	fail	pass	pass
SRX4105508	SRX4105508_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	11263183.0	0.0	20-50	54.0	4.975557500979103	49.36568002135808	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	fail
SRX4105509	SRX4105509_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10780922.0	0.0	20-50	54.0	6.998799396595828	49.404886149811674	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	fail
SRX4105510	SRX4105510_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	16259600.0	0.0	20-50	54.0	4.9127956096252285	49.400382973750894	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	fail
SRX4105511	SRX4105511_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3259774.0	0.0	20-75	54.0	23.203059079507728	73.18243473320543	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	
SRX4105512	SRX4105512_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	4482753.0	0.0	20-75	56.0	28.006615981328707	72.97845274990614	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	
SRX4105513	SRX4105513_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	4075617.0	0.0	20-75	55.0	16.92613621342588	73.15609783745627	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	
SRX4105514	SRX4105514_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	5145687.0	0.0	20-75	55.0	21.15445747642835	73.0886686267548	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	
SRX4105515	SRX4105515_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3472019.0	0.0	20-75	55.0	11.982745943839399	73.08608391831957	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	
SRX4105516	SRX4105516_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	4798203.0	0.0	20-75	55.0	18.92811501294439	73.3877732976283	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	
SRX4105517	SRX4105517_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	18311303.0	0.0	20-50	54.0	5.459936564839167	48.91129271357696	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	fail
SRX4105518	SRX4105518_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	14559724.0	0.0	20-50	53.0	2.2611009612666	49.54314106503667	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	fail
SRX4105519	SRX4105519_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2353976.0	0.0	20-50	54.0	3.317493466373489	49.521300557015024	pass	pass	pass	fail	pass	pass	warn	fail	fail	pass	pass
SRX4105520	SRX4105520_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	13620440.0	0.0	20-50	54.0	5.421381642839356	48.97049955801722	pass	pass	pass	fail	pass	pass	warn	fail	fail	pass	fail
SRX4105521	SRX4105521_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9670967.0	0.0	20-50	54.0	5.775074025274593	48.909198635462204	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	fail
SRX4105522	SRX4105522_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17825907.0	0.0	20-50	54.0	7.011248386616216	48.98315838851846	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	fail
SRX4105523	SRX4105523_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	11029356.0	0.0	20-50	54.0	5.903034343807506	48.96810384939973	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	fail
SRX4105524	SRX4105524_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	13276464.0	0.0	20-50	54.0	4.3328005547631685	48.97365036353053	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	fail
SRX4105525	SRX4105525_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12280213.0	0.0	20-50	52.0	9.370652886926553	49.427890542289454	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	fail
SRX4105526	SRX4105526_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	21743377.0	0.0	20-50	55.0	14.907658487739045	49.439199531885045	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	fail
SRX4105527	SRX4105527_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17804954.0	0.0	20-50	55.0	12.620054140083237	49.467914491663386	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	fail
SRX4105528	SRX4105528_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17323537.0	0.0	20-50	55.0	13.943764136085404	49.452463720313006	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	fail
SRX4105529	SRX4105529_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	20868876.0	0.0	20-50	55.0	12.935010912405332	49.46296882496211	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	fail
SRX4105530	SRX4105530_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	24433720.0	0.0	20-50	55.0	7.65881691133117	49.445084702615894	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	fail
SRX4105531	SRX4105531_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	5192752.0	0.0	20-50	54.0	3.056715870073492	49.51830590022401	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	fail
SRX4105532	SRX4105532_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3052717.0	0.0	20-50	54.0	4.452139120541445	49.52137751386716	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	pass
SRX4105533	SRX4105533_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	16182366.0	0.0	20-50	52.0	8.206652866442317	49.41807841943508	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	fail
SRX4105534	SRX4105534_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7692735.0	0.0	20-50	54.0	2.1451643596704857	49.46443040089123	pass	pass	pass	fail	pass	pass	warn	fail	fail	pass	warn
SRX4105535	SRX4105535_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6680652.0	0.0	20-50	54.0	2.3703694271903917	49.44443701004034	pass	pass	pass	fail	pass	pass	warn	fail	fail	pass	pass
SRX4105536	SRX4105536_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	15561205.0	0.0	20-50	55.0	13.459326289822945	49.455787324953306	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	fail
SRX4105537	SRX4105537_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9097860.0	0.0	20-50	55.0	17.535825214811602	49.43734405673422	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	fail
SRX4105538	SRX4105538_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	18425735.0	0.0	20-50	55.0	15.485644203563382	49.46708790721239	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	fail
SRX4105539	SRX4105539_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12025582.0	0.0	20-50	54.0	13.674881593805125	49.44216546026629	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	fail
SRX4105540	SRX4105540_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17557688.0	0.0	20-50	52.0	5.671994280778125	49.370196748000076	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	fail
SRX4105541	SRX4105541_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	834150.0	0.0	20-75	58.0	30.945407924952573	72.06117844512377	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	
SRX4105542	SRX4105542_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3026512.0	0.0	20-75	56.0	31.264105561648016	72.77986143785321	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	
SRX4105543	SRX4105543_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2740879.0	0.0	20-75	57.0	28.03932512554543	72.7516559468696	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	
SRX4105544	SRX4105544_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2538318.0	0.0	20-75	56.0	32.92998848831963	73.00105108973737	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	
SRX4105545	SRX4105545_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3316244.0	0.0	20-75	57.0	32.24992371245117	72.80322678307145	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	
SRX4105546	SRX4105546_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3184302.0	0.0	20-75	57.0	31.803386208398827	73.02847908270007	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	
SRX4105547	SRX4105547_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	14484666.0	0.0	20-50	54.0	5.6920761399756294	48.95350855863711	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	fail
SRX4105548	SRX4105548_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17130163.0	0.0	20-50	54.0	6.312406111629483	49.00599865862339	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	fail
SRX4105549	SRX4105549_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	8364896.0	0.0	20-50	54.0	1.9707314831621296	49.51759388281695	pass	pass	pass	fail	pass	pass	warn	fail	fail	pass	fail
SRX4105550	SRX4105550_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	13741165.0	0.0	20-50	54.0	5.8646183267723	48.956154081549855	pass	pass	pass	fail	pass	pass	warn	fail	fail	pass	fail
SRX4105551	SRX4105551_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	4489656.0	0.0	20-50	54.0	3.776531247147864	49.51568583428218	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	fail
SRX4105552	SRX4105552_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	16425543.0	0.0	20-50	54.0	8.119888295310298	49.00723823863844	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	fail
SRX4105553	SRX4105553_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	14528857.0	0.0	20-50	54.0	5.950760424832174	48.93454467891039	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	fail
SRX4105554	SRX4105554_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	13113365.0	0.0	20-50	55.0	6.731435509532621	49.00208207428071	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	fail
SRX4105555	SRX4105555_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3358472.0	0.0	20-75	56.0	24.633583001315806	72.81908379763178	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	
SRX4105556	SRX4105556_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	777456.0	0.0	20-75	59.0	42.982658098079455	72.42507871828116	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	
SRX4105557	SRX4105557_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3443039.0	0.0	20-75	56.0	32.06504724382428	73.2043366340027	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	
SRX4105558	SRX4105558_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2552083.0	0.0	20-75	56.0	34.96805950470559	73.01636898172983	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	
SRX4105559	SRX4105559_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3066598.0	0.0	20-75	57.0	28.633653209191074	72.54764334940543	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	
SRX4105560	SRX4105560_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2410054.0	0.0	20-75	64.0	25.255668303938204	71.36194624684758	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	
SRX4105561	SRX4105561_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	13979479.0	0.0	20-50	55.0	7.844291250844027	48.99809356271432	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	fail
