Sample	reads_processed	reads_aligned	reads_aligned_percentage	not_aligned	not_aligned_percentage
SRX3176795	13883075.0	11918224.0	85.85	1964851.0	14.15
SRX3176796	21458195.0	17549993.0	81.79	3908202.0	18.21
SRX3176797	15359038.0	7599215.0	49.48	7759823.0	50.52
SRX3176798	9019509.0	8230631.0	91.25	788878.0	8.75
SRX3176799	8266995.0	7489028.0	90.59	777967.0	9.41
SRX3176800	9224575.0	8444792.0	91.55	779783.0	8.45
SRX3176801	9001492.0	8301254.0	92.22	700238.0	7.78
SRX3176802	7641957.0	7038322.0	92.1	603635.0	7.9
SRX3176803	7918176.0	7304859.0	92.25	613317.0	7.75
SRX3176804	11926316.0	11132058.0	93.34	794258.0	6.66
SRX3176805	10626721.0	9882987.0	93.0	743734.0	7.0
SRX3176806	7886297.0	7539132.0	95.6	347165.0	4.4
SRX3176807	10405590.0	9883165.0	94.98	522425.0	5.02
SRX3176808	12686501.0	11986927.0	94.49	699574.0	5.51
SRX3176809	11361991.0	10693336.0	94.11	668655.0	5.89
SRX3176810	21703928.0	19944716.0	91.89	1759212.0	8.11
SRX3176811	13605240.0	12812452.0	94.17	792788.0	5.83
SRX3176812	22896262.0	21309654.0	93.07	1586608.0	6.93
SRX3176813	12565286.0	11921570.0	94.88	643716.0	5.12
SRX3176814	12416529.0	11760524.0	94.72	656005.0	5.28
SRX3176815	13725564.0	12343906.0	89.93	1381658.0	10.07
SRX3211301	7889271.0	7731323.0	98.0	157948.0	2.0
SRX3211302	8378625.0	8204998.0	97.93	173627.0	2.07
SRX3211303	7989637.0	7842735.0	98.16	146902.0	1.84
SRX3211304	8899792.0	8803751.0	98.92	96041.0	1.08
SRX3211305	10541745.0	10312680.0	97.83	229065.0	2.17
SRX3211306	7701446.0	7631438.0	99.09	70008.0	0.91
SRX3211307	10507491.0	10386925.0	98.85	120566.0	1.15
SRX3211308	9064096.0	8952319.0	98.77	111777.0	1.23
SRX3211309	9115850.0	8991952.0	98.64	123898.0	1.36
SRX3211310	7478543.0	7399550.0	98.94	78993.0	1.06
SRX3211311	9901118.0	9749136.0	98.47	151982.0	1.53
SRX3211312	7595203.0	7519095.0	99.0	76108.0	1.0
SRX3211313	9425027.0	9254936.0	98.2	170091.0	1.8
SRX3211314	9442261.0	9294770.0	98.44	147491.0	1.56
SRX3211315	11492940.0	11310619.0	98.41	182321.0	1.59
SRX3211316	10849204.0	10705503.0	98.68	143701.0	1.32
SRX3211317	12832533.0	12623891.0	98.37	208642.0	1.63
SRX3211318	9978101.0	9879972.0	99.02	98129.0	0.98
SRX3211319	13206338.0	13033792.0	98.69	172546.0	1.31
SRX3211320	9128765.0	9001799.0	98.61	126966.0	1.39
SRX3211321	7472343.0	7341885.0	98.25	130458.0	1.75
SRX3211322	10983690.0	10824099.0	98.55	159591.0	1.45
SRX3211323	5846676.0	5757233.0	98.47	89443.0	1.53
SRX3211324	4354764.0	4303429.0	98.82	51335.0	1.18
SRX3211325	6166001.0	6102785.0	98.97	63216.0	1.03
SRX3211326	9267008.0	9138272.0	98.61	128736.0	1.39
SRX3211327	7529042.0	7448133.0	98.93	80909.0	1.07
SRX3211328	8392149.0	8308913.0	99.01	83236.0	0.99
SRX3211329	6181510.0	6090159.0	98.52	91351.0	1.48
SRX3211330	5314794.0	5223549.0	98.28	91245.0	1.72
SRX3211331	6043883.0	5938096.0	98.25	105787.0	1.75
SRX3211332	7629023.0	7505987.0	98.39	123036.0	1.61
SRX3211333	6405583.0	6292710.0	98.24	112873.0	1.76
SRX3211334	8135311.0	7954633.0	97.78	180678.0	2.22
SRX3211335	7031448.0	6909335.0	98.26	122113.0	1.74
SRX3211336	6661889.0	6530430.0	98.03	131459.0	1.97
SRX3211337	7188130.0	7038361.0	97.92	149769.0	2.08
SRX3211338	9709258.0	9494889.0	97.79	214369.0	2.21
SRX3211339	8585396.0	8404722.0	97.9	180674.0	2.1
SRX3211340	8505634.0	8322544.0	97.85	183090.0	2.15
SRX3211341	9584698.0	9387998.0	97.95	196700.0	2.05
SRX3211342	8231026.0	8055571.0	97.87	175455.0	2.13
SRX3211343	9277153.0	9085971.0	97.94	191182.0	2.06
SRX3211344	5245434.0	5143586.0	98.06	101848.0	1.94
SRX3211345	8922455.0	8687652.0	97.37	234803.0	2.63
SRX3211346	8776769.0	8602107.0	98.01	174662.0	1.99
SRX3211347	8005651.0	7864302.0	98.23	141349.0	1.77
SRX3211348	8491400.0	8366716.0	98.53	124684.0	1.47
SRX3211349	10505257.0	10269481.0	97.76	235776.0	2.24
SRX3211350	7922927.0	7807658.0	98.55	115269.0	1.45
SRX3211351	7122937.0	7002788.0	98.31	120149.0	1.69
SRX3211352	7337409.0	7178220.0	97.83	159189.0	2.17
SRX3211353	8575045.0	8345262.0	97.32	229783.0	2.68
SRX3211354	7362443.0	7229870.0	98.2	132573.0	1.8
SRX3211355	7604401.0	7402873.0	97.35	201528.0	2.65
