Sample	Assigned	Unassigned: r RNA	Unassigned: Unmapped	Unassigned: Fragment Length	Unassigned: No Features	Unassigned: Overlapping Length	Unassigned: Ambiguity
SRX3176813	6511232.0	319011.0	643716.0	0.0	4780687.0	305304.0	5336.0
SRX3176814	5083756.0	323484.0	656005.0	0.0	6062221.0	287813.0	3250.0
SRX3176815	3267172.0	1032068.0	1381658.0	0.0	7812529.0	230281.0	1856.0
SRX3211301	5964329.0	88486.0	157948.0	0.0	1329597.0	345556.0	3355.0
SRX3211302	6273028.0	100902.0	173627.0	0.0	1470321.0	357676.0	3071.0
SRX3211303	5834683.0	50218.0	146902.0	0.0	1596797.0	358381.0	2656.0
SRX3211304	6318197.0	275425.0	96041.0	0.0	1872413.0	334013.0	3703.0
SRX3211305	7326521.0	195045.0	229065.0	0.0	2433886.0	352678.0	4550.0
SRX3211306	5627545.0	100871.0	70008.0	0.0	1539311.0	361089.0	2622.0
SRX3211307	7713644.0	63797.0	120566.0	0.0	2157538.0	448145.0	3801.0
SRX3211308	6185660.0	375937.0	111777.0	0.0	1957266.0	429937.0	3519.0
SRX3211309	6770594.0	72603.0	123898.0	0.0	1734987.0	410913.0	2855.0
SRX3211310	5156514.0	301853.0	78993.0	0.0	1627048.0	311554.0	2581.0
SRX3211311	7424767.0	46940.0	151982.0	0.0	1824987.0	448880.0	3562.0
SRX3211312	5351359.0	125256.0	76108.0	0.0	1718422.0	321385.0	2673.0
SRX3211313	6728985.0	86672.0	170091.0	0.0	2047635.0	388356.0	3288.0
SRX3211314	6580183.0	181681.0	147491.0	0.0	2125166.0	404171.0	3569.0
SRX3211315	8275663.0	109372.0	182321.0	0.0	2468012.0	453127.0	4445.0
SRX3211316	7699734.0	104915.0	143701.0	0.0	2424605.0	472840.0	3409.0
SRX3211317	9040612.0	273609.0	208642.0	0.0	2761253.0	543940.0	4477.0
SRX3211318	7198643.0	140952.0	98129.0	0.0	2101087.0	435705.0	3585.0
SRX3211319	9350671.0	185570.0	172546.0	0.0	2991686.0	500895.0	4970.0
SRX3211320	6726054.0	392674.0	126966.0	0.0	1534039.0	339816.0	9216.0
SRX3211321	5094658.0	92049.0	130458.0	0.0	1916327.0	235415.0	3436.0
SRX3211322	7970918.0	635458.0	159591.0	0.0	1749783.0	464125.0	3815.0
SRX3211323	4461132.0	34754.0	89443.0	0.0	1008434.0	250513.0	2400.0
