Sample	Assigned	Unassigned: r RNA	Unassigned: Unmapped	Unassigned: Fragment Length	Unassigned: No Features	Unassigned: Overlapping Length	Unassigned: Ambiguity
SRX4105518	486000.0	2705551.0	10592347.0	0.0	742624.0	33033.0	169.0
SRX4105519	97521.0	405814.0	1758182.0	0.0	86284.0	6162.0	13.0
SRX4105520	160010.0	671481.0	12345351.0	0.0	433393.0	10133.0	72.0
SRX4105521	74150.0	428854.0	8867448.0	0.0	295881.0	4594.0	40.0
SRX4105522	787275.0	1867167.0	14382535.0	0.0	745004.0	43494.0	432.0
SRX4105523	119346.0	583492.0	9958347.0	0.0	360893.0	7216.0	62.0
SRX4105524	78536.0	366211.0	12408724.0	0.0	418153.0	4801.0	39.0
SRX4105525	1932859.0	2238356.0	3072671.0	0.0	4923886.0	111233.0	1208.0
SRX4105526	9455692.0	3168488.0	5055541.0	0.0	3611228.0	444087.0	8341.0
SRX4105527	6820948.0	5278825.0	2985032.0	0.0	2347380.0	369420.0	3349.0
SRX4105528	7358125.0	3322964.0	4345134.0	0.0	1928430.0	359925.0	8959.0
SRX4105529	10211412.0	2821358.0	3627669.0	0.0	3679247.0	523660.0	5530.0
SRX4105530	13234104.0	2297271.0	2793599.0	0.0	5442080.0	659229.0	7437.0
SRX4105531	43328.0	165063.0	4820531.0	0.0	161206.0	2610.0	14.0
SRX4105532	25053.0	94531.0	2838296.0	0.0	93285.0	1546.0	6.0
SRX4105533	2554429.0	2932895.0	3888438.0	0.0	6655260.0	149790.0	1554.0
SRX4105534	443097.0	1290516.0	5602633.0	0.0	329479.0	26603.0	407.0
SRX4105535	383592.0	1102825.0	4885142.0	0.0	285740.0	23024.0	329.0
SRX4105536	5881855.0	4644988.0	2633501.0	0.0	2072525.0	325511.0	2825.0
SRX4105537	3677635.0	1678075.0	2266030.0	0.0	1286834.0	187200.0	2086.0
SRX4105538	9237278.0	2401695.0	3153108.0	0.0	3178818.0	449600.0	5236.0
SRX4105539	6404759.0	1154406.0	1415222.0	0.0	2717041.0	330550.0	3604.0
SRX4105540	6054953.0	1169864.0	7073209.0	0.0	2934735.0	321027.0	3900.0
SRX4105541	450861.0	34546.0	137836.0	0.0	187304.0	23248.0	355.0
SRX4105542	1619441.0	763231.0	122815.0	0.0	447376.0	72645.0	1004.0
SRX4105543	1944206.0	38342.0	140579.0	0.0	512784.0	103858.0	1110.0
SRX4105544	1841912.0	40298.0	100774.0	0.0	458156.0	96209.0	969.0
SRX4105545	2328581.0	82506.0	165888.0	0.0	622052.0	115955.0	1262.0
SRX4105546	2185496.0	131525.0	173473.0	0.0	586966.0	105539.0	1303.0
SRX4105547	301339.0	771089.0	12909283.0	0.0	485533.0	17321.0	101.0
SRX4105548	490368.0	1505912.0	14428135.0	0.0	678735.0	26734.0	279.0
SRX4105549	466013.0	1372019.0	6210356.0	0.0	294185.0	21977.0	346.0
SRX4105550	327927.0	1449051.0	11531609.0	0.0	409598.0	22854.0	126.0
SRX4105551	625685.0	1044664.0	2476598.0	0.0	300900.0	41520.0	289.0
SRX4105552	955784.0	2846617.0	11911083.0	0.0	658182.0	53358.0	519.0
SRX4105553	394617.0	1972376.0	11719135.0	0.0	418638.0	23934.0	157.0
SRX4105554	410061.0	1285204.0	10930730.0	0.0	465200.0	21906.0	264.0
SRX4105555	2217348.0	66803.0	187547.0	0.0	779367.0	106029.0	1378.0
SRX4105556	488894.0	9585.0	99396.0	0.0	156631.0	22603.0	347.0
SRX4105557	2498629.0	45387.0	143494.0	0.0	625923.0	128289.0	1317.0
SRX4105558	1735418.0	59456.0	182355.0	0.0	482229.0	91730.0	895.0
SRX4105559	2006854.0	107365.0	205014.0	0.0	646680.0	99506.0	1179.0
SRX4105560	1297074.0	66965.0	591251.0	0.0	392700.0	61283.0	781.0
SRX4105561	663698.0	1688634.0	11000804.0	0.0	591303.0	34648.0	392.0
SRX4105562	260968.0	1102650.0	10323754.0	0.0	445063.0	15075.0	162.0
SRX4105563	785779.0	2161061.0	9661132.0	0.0	550857.0	40924.0	432.0
SRX4105564	1051458.0	2927902.0	6110041.0	0.0	499800.0	56409.0	624.0
SRX4105565	3725796.0	3586624.0	4208127.0	0.0	1496868.0	190456.0	2330.0
SRX4105566	1004879.0	2135353.0	10807662.0	0.0	701387.0	49870.0	586.0
SRX4105567	328530.0	823337.0	11405543.0	0.0	521861.0	16650.0	184.0
SRX4105568	715124.0	1821961.0	11821139.0	0.0	617228.0	37169.0	452.0
SRX5055969	2981415.0	147141.0	6038408.0	324732.0	1535891.0	231589.0	15929.0
SRX5055970	2511966.0	430833.0	5878315.0	451864.0	1438193.0	185090.0	5329.0
SRX5055971	2502378.0	159650.0	5757431.0	385077.0	1907340.0	193416.0	7231.0
SRX5055972	2727651.0	455871.0	5327020.0	250335.0	731494.0	227448.0	8867.0
SRX689242	289494.0	145109.0	244789.0	0.0	354625.0	98471.0	219.0
SRX7119038	2981423.0	147141.0	6038408.0	324724.0	1535891.0	231589.0	15929.0
SRX7119039	2511962.0	430833.0	5878313.0	451871.0	1438193.0	185090.0	5328.0
SRX7119040	1349342.0	242980.0	5132497.0	384082.0	2164402.0	111404.0	2067.0
SRX7119041	3092236.0	900446.0	5951365.0	283791.0	631185.0	260943.0	6655.0
SRX8650808	27184652.0	334130.0	2627471.0	396766.0	10687430.0	1999976.0	118647.0
UV_control_1	9606809.0	645489.0	772288.0	320644.0	520098.0	614831.0	271702.0
UV_control_2	5472149.0	985377.0	292833.0	118902.0	1797486.0	312160.0	92393.0
UV_control_3	6807732.0	2211302.0	326514.0	236623.0	1522657.0	406032.0	157249.0
UV_exposure_2	7692292.0	1529833.0	396387.0	167318.0	2270583.0	423775.0	108204.0
UV_exposure_3	6778373.0	2150448.0	255763.0	162170.0	1505221.0	358895.0	118826.0
dark_4h_0110_KO_1	9272653.0	1709579.0	639678.0	103967.0	851427.0	602758.0	160030.0
dark_4h_0110_KO_2	7642854.0	1318376.0	520367.0	154294.0	786493.0	515958.0	161202.0
dark_4h_0616_KO_1	7678211.0	610703.0	698131.0	275358.0	471156.0	507719.0	212999.0
dark_4h_0616_KO_2	8774752.0	1207361.0	587122.0	172466.0	891248.0	600912.0	217446.0
dark_4h_1684_KO_1	3634626.0	1572232.0	465930.0	183629.0	3960647.0	303980.0	52226.0
dark_4h_1684_KO_2	2847611.0	643969.0	403988.0	108513.0	3365280.0	230533.0	33153.0
km_LL_1	6172690.0	1418613.0	419860.0	187840.0	3040454.0	399557.0	105318.0
km_LL_2	9732601.0	1169042.0	497807.0	126632.0	646114.0	560407.0	190855.0
km_dark_4h_1	6002771.0	1683514.0	646008.0	249288.0	733776.0	400823.0	169119.0
km_dark_4h_2	9119247.0	950653.0	821997.0	201907.0	976118.0	593354.0	229315.0
light_0110_KO_1	7045689.0	1364789.0	393912.0	160983.0	2784705.0	429935.0	115780.0
light_0110_KO_2	10158216.0	1432948.0	394505.0	161993.0	737997.0	591685.0	208743.0
light_0616_KO_1	7166745.0	379061.0	545223.0	342947.0	418451.0	476708.0	233587.0
light_0616_KO_2	9628753.0	849803.0	809665.0	161327.0	636291.0	613607.0	220518.0
light_1684_KO_1	10296574.0	1691258.0	528613.0	198258.0	629677.0	601560.0	248743.0
light_1684_KO_2	6280420.0	1670989.0	284824.0	161602.0	1641072.0	344106.0	103989.0
post_uv_2hrs_1	5645014.0	2364033.0	394365.0	202073.0	1102199.0	328250.0	141150.0
post_uv_2hrs_2	6895060.0	295433.0	476437.0	167431.0	335034.0	421765.0	189197.0
post_uv_2hrs_3	7667848.0	433479.0	555799.0	159386.0	382186.0	465087.0	172023.0
post_uv_control_1	5128005.0	2275192.0	336105.0	167677.0	1171318.0	299182.0	114833.0
post_uv_control_2	8723919.0	240119.0	651676.0	338235.0	369672.0	522933.0	303391.0
wt_LL_1	4615696.0	899592.0	316848.0	190120.0	2600051.0	304509.0	73557.0
wt_LL_2	5539628.0	1001100.0	392619.0	152508.0	2853643.0	347264.0	82890.0
wt_dark_4h_1	8242220.0	1233055.0	665954.0	206466.0	839241.0	527762.0	206353.0
wt_dark_4h_2	3794025.0	1002266.0	539907.0	223089.0	4619563.0	331905.0	71550.0
