Sample	featureCounts_mqc-generalstats-featurecounts-percent_assigned	featureCounts_mqc-generalstats-featurecounts-Assigned	Bowtie 1_mqc-generalstats-bowtie_1-reads_aligned_percentage	Bowtie 1_mqc-generalstats-bowtie_1-reads_aligned	Cutadapt_mqc-generalstats-cutadapt-percent_trimmed	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
SRX18913114	65.15498257003651	6332158	91.94	8934869.0	5.597046813554471	83.71075625565496	54.0	141.32076133528986	27.27272727272727	9718609.0
SRX18913115	63.66086555617002	6228828	91.56	8958389.0	6.783720314364166	81.9783539728084	54.0	139.49297641519027	27.27272727272727	9784391.0
SRX2356912	7.43781241656792	765838	97.03	9990388.0	0.9176131464429036	95.02935625849568	55.0	49.54894023230502	27.27272727272727	10296549.0
SRX2356913	5.530015617419981	482416	97.14	8474504.0	0.9712798077918025	95.70726200368384	55.0	49.530528594184595	27.27272727272727	8723592.0
SRX2356914	5.816796338640474	577028	96.79	9601469.0	0.9414926918271903	95.71771276511386	55.0	49.53872442535714	27.27272727272727	9920031.0
SRX2356915	4.280968560166758	498135	96.61	11241022.0	0.8860589581973588	96.38636884301953	54.0	49.56440187744365	27.27272727272727	11636035.0
SRX2356916	3.4996795130765963	297130	97.13	8246709.0	0.9563529881350603	96.32793610597587	54.0	49.53677837734444	27.27272727272727	8490206.0
SRX2356917	2.779685211757901	302914	96.91	10560824.0	0.927053047250303	96.67500248311117	54.0	49.548919143345934	27.27272727272727	10897421.0
SRX2356918	1.9851311000384466	206792	96.84	10088250.0	0.9621667586438563	96.8840780653194	54.0	49.52756938268002	27.27272727272727	10417045.0
SRX2356919	1.52763435885653	280772	97.16	17857444.0	0.8842451597685463	97.35423684427172	54.0	49.56447969912613	27.27272727272727	18379529.0
SRX2356920	1.496282355596511	202595	96.05	13004702.0	0.9767069537440874	96.68090449895058	54.0	49.5255835515958	27.27272727272727	13539891.0
SRX2356921	5.697398281697212	542875	95.68	9116726.0	1.5467121164027697	93.72501451490956	55.0	49.379205711052094	27.27272727272727	9528472.0
SRX2356922	8.46080633488346	1047017	95.03	11759390.0	1.1623489102902755	93.48209747777966	55.0	49.44993231464832	27.27272727272727	12374908.0
SRX2356923	8.319093011187276	956713	95.94	11033244.0	0.9809529539144041	94.33407588414588	55.0	49.517451684352146	27.27272727272727	11500208.0
