Sample	cutadapt_version	r_processed	r_with_adapters	r_written	bp_processed	quality_trimmed	bp_written	percent_trimmed
SRX2356930	2.6	12104059	2689918	12104059	605202950	2385215	598644704	1.0836440899701496
SRX2356931	2.6	12868733	2839237	12868733	643436650	2562770	636546297	1.0708673495673584
SRX2356932	2.6	13811308	3257482	13811308	690565400	2783243	681127270	1.366725005336207
SRX2356933	2.6	16305249	3612281	16305249	815262450	3624280	806283528	1.1013535579861429
SRX2356934	2.6	15476359	3597060	15476359	773817950	3379287	764314966	1.228064559629303
SRX2356935	2.6	10717554	2428292	10717554	535877700	2202212	530154009	1.068096507841248
SRX259777	2.6	40069177	11011013	40069177	4046986877	713580046	3269322771	19.215879112918607
SRX259778	2.6	26825475	7227552	26825475	2709372975	460350999	2211987508	18.357954832704422
SRX259779	2.6	28738610	7920155	28738610	2902599610	482628812	2364911719	18.52435620633188
SRX259780	2.6	31569624	8669006	31569624	3188532024	551436682	2586173647	18.89140119861001
SRX259781	2.6	16552481	4788416	16552481	1671800581	266646103	1367834121	18.18198076101757
SRX259782	2.6	16165712	4448040	16165712	1632736912	263957640	1351439662	17.228571727176092
SRX259783	2.6	31519820	9452309	31519820	3183501820	565229526	2522328807	20.768733626795914
SRX259784	2.6	21995675	6752360	21995675	2221563175	407176744	1737383123	21.794565981676392
SRX259785	2.6	26841587	7734157	26841587	2711000287	528496669	2134193122	21.27654385600587
SRX259786	2.6	74021944	21517646	74021944	7476216344	1660802824	5590420103	25.22393887803202
SRX259787	2.6	46857767	13799118	46857767	4732634467	872151076	3724272494	21.306567833014938
SRX259788	2.6	60204551	16916544	60204551	6080659651	1254428958	4718086939	22.40830420061279
SRX259789	2.6	16475592	5105869	16475592	1664034792	164850179	1465369714	11.938757467998903
SRX259790	2.6	11325835	4390340	11325835	1143909335	150673589	876643195	23.364276505357832
SRX259791	2.6	33450692	11455490	33450692	3378519892	402602684	2776205859	17.827748607495842
SRX259792	2.6	18703355	9409621	18703355	1889038855	319722448	1176691052	37.70953684274536
SRX259793	2.6	23108719	11770597	23108719	2333980619	353523188	1461397183	37.386061773463254
SRX3159653	2.6	14911780	4631709	14911780	745589000	2030234	735130269	1.4027474922510927
SRX3159654	2.6	18769338	5744779	18769338	938466900	2416300	926906945	1.2317914462406718
SRX3159655	2.6	16627313	5090015	16627313	831365650	2374312	819806889	1.390334204931368
SRX3159656	2.6	10827488	3387592	10827488	541374400	1335236	533469519	1.4601504984350941
SRX3159657	2.6	12286581	3726881	12286581	614329050	1893957	606342710	1.3000101492840035
SRX3159658	2.6	13874664	4291609	13874664	693733200	1905966	682255583	1.654471344315077
SRX3159659	2.6	16938257	5265181	16938257	846912850	2702067	833303314	1.6069582602271297
SRX3159660	2.6	16587665	4620732	16587665	829383250	1977114	819582948	1.1816373190560576
SRX3159661	2.6	18128276	5608059	18128276	906413800	1219173	894901850	1.2700545821345615
