Sample	Aligned	Not aligned
SRX4105568	3191934.0	11821139.0
SRX5055969	5236697.0	6038408.0
SRX5055970	5023275.0	5878315.0
SRX5055971	5155092.0	5757431.0
SRX5055972	4401666.0	5327020.0
SRX689242	887918.0	244789.0
SRX7119038	5236697.0	6038408.0
SRX7119039	5023277.0	5878313.0
SRX7119040	4254277.0	5132497.0
SRX7119041	5175256.0	5951365.0
SRX8650808	40721601.0	2627471.0
UV_control_1	11979573.0	772288.0
UV_control_2	8778467.0	292833.0
UV_control_3	11341595.0	326514.0
UV_exposure_2	12192005.0	396387.0
UV_exposure_3	11073933.0	255763.0
dark_4h_0110_KO_1	12700414.0	639678.0
dark_4h_0110_KO_2	10579177.0	520367.0
dark_4h_0616_KO_1	9756146.0	698131.0
dark_4h_0616_KO_2	11864185.0	587122.0
dark_4h_1684_KO_1	9707340.0	465930.0
dark_4h_1684_KO_2	7229059.0	403988.0
km_LL_1	11324472.0	419860.0
km_LL_2	12425651.0	497807.0
km_dark_4h_1	9239291.0	646008.0
km_dark_4h_2	12070594.0	821997.0
light_0110_KO_1	11901881.0	393912.0
light_0110_KO_2	13291582.0	394505.0
light_0616_KO_1	9017499.0	545223.0
light_0616_KO_2	12110299.0	809665.0
light_1684_KO_1	13666070.0	528613.0
light_1684_KO_2	10202178.0	284824.0
post_uv_2hrs_1	9782719.0	394365.0
post_uv_2hrs_2	8303920.0	476437.0
post_uv_2hrs_3	9280009.0	555799.0
post_uv_control_1	9156207.0	336105.0
post_uv_control_2	10498269.0	651676.0
wt_LL_1	8683525.0	316848.0
wt_LL_2	9977033.0	392619.0
wt_dark_4h_1	11255097.0	665954.0
wt_dark_4h_2	10042398.0	539907.0
