Sample	Unique Reads	Duplicate Reads
SRX359375	423976.0	11366995.0
SRX359376	447625.0	10057156.0
SRX359377	425508.0	11145748.0
SRX359378	446865.0	9866330.0
SRX359379	405139.0	9138948.0
SRX359380	404884.0	9987657.0
SRX359381	428961.0	9525958.0
SRX359382	523522.0	11725707.0
SRX359383	495340.0	11670732.0
SRX4105497	1253583.0	12293444.0
SRX4105498	1069821.0	16990670.0
SRX4105499	795986.0	11884719.0
SRX4105500	992819.0	27684437.0
SRX4105501	852003.0	12088661.0
SRX4105502	722761.0	19854045.0
SRX4105503	1756713.0	19177182.0
SRX4105504	1156336.0	17045160.0
SRX4105505	875165.0	13532564.0
SRX4105506	122787.0	4358046.0
SRX4105507	124589.0	3780155.0
SRX4105508	560407.0	10702776.0
SRX4105509	754536.0	10026386.0
SRX4105510	798801.0	15460799.0
SRX4105511	756368.0	2503406.0
SRX4105512	1255468.0	3227285.0
SRX4105513	689845.0	3385772.0
SRX4105514	1088543.0	4057144.0
SRX4105515	416044.0	3055975.0
SRX4105516	908210.0	3889993.0
SRX4105517	999786.0	17311517.0
SRX4105518	329211.0	14230513.0
SRX4105519	78093.0	2275883.0
SRX4105520	738417.0	12882023.0
SRX4105521	558506.0	9112461.0
SRX4105522	1249819.0	16576088.0
SRX4105523	651067.0	10378289.0
SRX4105524	575243.0	12701221.0
SRX4105525	1150737.0	11129476.0
SRX4105526	3241429.0	18501948.0
SRX4105527	2246995.0	15557959.0
SRX4105528	2415554.0	14907983.0
SRX4105529	2699392.0	18169484.0
SRX4105530	1871334.0	22562386.0
SRX4105531	158728.0	5034024.0
SRX4105532	135912.0	2916805.0
SRX4105533	1328031.0	14854335.0
SRX4105534	165022.0	7527713.0
SRX4105535	158357.0	6522295.0
SRX4105536	2094434.0	13466771.0
SRX4105537	1595385.0	7502475.0
SRX4105538	2853344.0	15572391.0
SRX4105539	1644485.0	10381097.0
SRX4105540	995872.0	16561816.0
SRX4105541	258132.0	576018.0
SRX4105542	946212.0	2080300.0
SRX4105543	768524.0	1972355.0
SRX4105544	835868.0	1702450.0
SRX4105545	1069487.0	2246757.0
SRX4105546	1012716.0	2171586.0
SRX4105547	824479.0	13660187.0
SRX4105548	1081326.0	16048837.0
SRX4105549	164850.0	8200046.0
SRX4105550	805867.0	12935298.0
SRX4105551	169554.0	4320102.0
SRX4105552	1333736.0	15091807.0
SRX4105553	864578.0	13664279.0
SRX4105554	882718.0	12230647.0
SRX4105555	827312.0	2531160.0
SRX4105556	334172.0	443284.0
SRX4105557	1104013.0	2339026.0
SRX4105558	892414.0	1659669.0
SRX4105559	878080.0	2188518.0
SRX4105560	608676.0	1801378.0
SRX4105561	1096592.0	12882887.0
SRX4105562	780221.0	11367451.0
SRX4105563	1089032.0	12111153.0
SRX4105564	1190918.0	9455316.0
SRX4105565	1939802.0	11270399.0
SRX4105566	1306594.0	13393143.0
SRX4105567	884551.0	12211554.0
